layer,delivery_fid,source_entity_key,source_handle,field_name,delivery_value,recorded_value,provenance,missing_value,recorded_comparison,direct_source_text_match,source_texts,selected_annotation_keys,verified_selected_annotation_texts,heuristic_number_label_keys,verified_heuristic_number_texts,replacement_character_in_delivery,replacement_character_in_source_text
SITE,1,a89cf21f2cfd90811a89068f8734d2a8ea5b9eddb0f6ee539d6f5fe68d1890c1,4D0B5,CODE,SITE-CAD-4D0B5,SITE-CAD-4D0B5,DWG_DERIVED:stable-handle-id,False,exact,no_exact_match_requires_relation_or_derivation,"["""", ""48"", ""48""]",,[],,[],False,False
SITE,1,a89cf21f2cfd90811a89068f8734d2a8ea5b9eddb0f6ee539d6f5fe68d1890c1,4D0B5,REF_PLAQUE,,,UNAVAILABLE,True,missing_value,not_a_text_check,"["""", ""48"", ""48""]",,[],,[],False,False
SITE,1,a89cf21f2cfd90811a89068f8734d2a8ea5b9eddb0f6ee539d6f5fe68d1890c1,4D0B5,REF_NRO,,,UNAVAILABLE,True,missing_value,not_a_text_check,"["""", ""48"", ""48""]",,[],,[],False,False
SITE,1,a89cf21f2cfd90811a89068f8734d2a8ea5b9eddb0f6ee539d6f5fe68d1890c1,4D0B5,TYPE,,,UNAVAILABLE,True,missing_value,not_a_text_check,"["""", ""48"", ""48""]",,[],,[],False,False
SITE,1,a89cf21f2cfd90811a89068f8734d2a8ea5b9eddb0f6ee539d6f5fe68d1890c1,4D0B5,FABRIQUANT,,,UNAVAILABLE,True,missing_value,not_a_text_check,"["""", ""48"", ""48""]",,[],,[],False,False
SITE,1,a89cf21f2cfd90811a89068f8734d2a8ea5b9eddb0f6ee539d6f5fe68d1890c1,4D0B5,REF_PRODUIT,,,UNAVAILABLE,True,missing_value,not_a_text_check,"["""", ""48"", ""48""]",,[],,[],False,False
SITE,1,a89cf21f2cfd90811a89068f8734d2a8ea5b9eddb0f6ee539d6f5fe68d1890c1,4D0B5,MODE_POSE,,,UNAVAILABLE,True,missing_value,not_a_text_check,"["""", ""48"", ""48""]",,[],,[],False,False
SITE,1,a89cf21f2cfd90811a89068f8734d2a8ea5b9eddb0f6ee539d6f5fe68d1890c1,4D0B5,STATUT,,,UNAVAILABLE,True,missing_value,not_a_text_check,"["""", ""48"", ""48""]",,[],,[],False,False
SITE,1,a89cf21f2cfd90811a89068f8734d2a8ea5b9eddb0f6ee539d6f5fe68d1890c1,4D0B5,PROPRIETAIRE,,,UNAVAILABLE,True,missing_value,not_a_text_check,"["""", ""48"", ""48""]",,[],,[],False,False
SITE,1,a89cf21f2cfd90811a89068f8734d2a8ea5b9eddb0f6ee539d6f5fe68d1890c1,4D0B5,GESTIONNAIRE,,,UNAVAILABLE,True,missing_value,not_a_text_check,"["""", ""48"", ""48""]",,[],,[],False,False
SITE,1,a89cf21f2cfd90811a89068f8734d2a8ea5b9eddb0f6ee539d6f5fe68d1890c1,4D0B5,COMMUNE,,,UNAVAILABLE,True,missing_value,not_a_text_check,"["""", ""48"", ""48""]",,[],,[],False,False
