fid,CODE,route_key,source_entity_key,source_handle,source_layer,segment_index,source_segment_key,source_segment_kind,native_length_source,source_native_length_m,delivery_vertex_count,delivery_chord_length_native,materialization_policy_version,measurement_state,dimension_entity_key,measurement_native_m,measurement_delta_m,delivery_grid_length_m,geodesic_length_m,length_value_m,status,length_label,length_source,unit,schema_version,parent_cable_code,parent_display_label,parent_label_provenance,LONGUEUR,display_label,label_provenance,geometry_role,style_aci,style_truecolor,style_linetype,style_lineweight,style_rotation,style_rotation_deg,style_qgis_rotation_deg,style_render_key,lineage_json,source_cad_length_m,dimension_length_m,source_segment_sum_m,source_native_length_delta_m
1,CABLE-CAD-A5B6F,03d9d77c8e48683ca5894c2c0f1a410b97c161e7bf50c6b4bd6711a878fc3976,ad5c285e6d236edaa842c2870f9cb6ca08da2479d29474373151661ac1934599,A5B6F,SLING WIRE FDT 1,0,c9374b8bf40f87c7eac3e264854d19309fe035692bff78b886395e178fe024d6,line,ordered_wcs_vertices,27.55688589440467,2,27.55688589440467,cad2gis.bulge_tessellation.v1,dimension_measured,733fc0124216823a74fcce0731dea332b00f39b17705fd1187808f9439d658e5,28.0,0.44311410559533115,27.55688589437323,27.562053318157794,28.0,measured,28m,dwg_dimension,m,cad2gis.cable_segment.v1,CABLE-CAD-A5B6F,,UNAVAILABLE,27.55688589437323,,UNAVAILABLE,SOURCE_ROUTE_SEGMENT,4,,BYLAYER,-1,0.0,0.0,0.0,CABLE:SLING WIRE|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""ad5c285e6d236edaa842c2870f9cb6ca08da2479d29474373151661ac1934599"",""max_displacement_m"":0.0},{""operation"":""segment_occurrence"",""parent_feature_key"":""03d9d77c8e48683ca5894c2c0f1a410b97c161e7bf50c6b4bd6711a878fc3976"",""segment_index"":0,""source_segment_key"":""c9374b8bf40f87c7eac3e264854d19309fe035692bff78b886395e178fe024d6"",""source_segment_kind"":""line"",""geometry_policy"":""versioned-source-segment-delivery-path""}]",28.0,,,
2,CABLE-CAD-A5B6F,03d9d77c8e48683ca5894c2c0f1a410b97c161e7bf50c6b4bd6711a878fc3976,ad5c285e6d236edaa842c2870f9cb6ca08da2479d29474373151661ac1934599,A5B6F,SLING WIRE FDT 1,1,7bfeffcdfb8e04414ef7ccbbe6605734020a83e7d8dfa53101fbc3929f079ea3,line,ordered_wcs_vertices,40.95151708495462,2,40.95151708495462,cad2gis.bulge_tessellation.v1,dimension_measured,6c7edcf3ba0d03bf3f0b98aceef2ff369802d8124e59bfd125c134c4be269d4e,41.0,0.04848291504538338,40.951517085178445,40.95919175758418,41.0,measured,41m,dwg_dimension,m,cad2gis.cable_segment.v1,CABLE-CAD-A5B6F,,UNAVAILABLE,40.951517085178445,,UNAVAILABLE,SOURCE_ROUTE_SEGMENT,4,,BYLAYER,-1,0.0,0.0,0.0,CABLE:SLING WIRE|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""ad5c285e6d236edaa842c2870f9cb6ca08da2479d29474373151661ac1934599"",""max_displacement_m"":0.0},{""operation"":""segment_occurrence"",""parent_feature_key"":""03d9d77c8e48683ca5894c2c0f1a410b97c161e7bf50c6b4bd6711a878fc3976"",""segment_index"":1,""source_segment_key"":""7bfeffcdfb8e04414ef7ccbbe6605734020a83e7d8dfa53101fbc3929f079ea3"",""source_segment_kind"":""line"",""geometry_policy"":""versioned-source-segment-delivery-path""}]",41.0,,,
3,CABLE-CAD-A5E86,2a842e49b31fa4b91993a9a97f9d24c6aec8946714c77d1640208090f62d3821,2892c5d7338493fe0fe655b72a60264aeeafecd22890f9f89c1d0741785fdd48,A5E86,SLING WIRE FDT 2,0,2d8783e9bb82e226f0cf7a802d21657fbe192ef64b3c6759107c1a0b270ffa74,line,ordered_wcs_vertices,33.881279402115965,2,33.881279402115965,cad2gis.bulge_tessellation.v1,dimension_measured,85f4a75407e41bfccc902353102e86671d97434fa9375c9705c98b05e683e45a,34.0,0.11872059788403533,33.8812794024611,33.88764831078702,34.0,measured,34m,dwg_dimension,m,cad2gis.cable_segment.v1,CABLE-CAD-A5E86,,UNAVAILABLE,33.8812794024611,,UNAVAILABLE,SOURCE_ROUTE_SEGMENT,4,,BYLAYER,-1,0.0,0.0,0.0,CABLE:SLING WIRE|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""2892c5d7338493fe0fe655b72a60264aeeafecd22890f9f89c1d0741785fdd48"",""max_displacement_m"":0.0},{""operation"":""segment_occurrence"",""parent_feature_key"":""2a842e49b31fa4b91993a9a97f9d24c6aec8946714c77d1640208090f62d3821"",""segment_index"":0,""source_segment_key"":""2d8783e9bb82e226f0cf7a802d21657fbe192ef64b3c6759107c1a0b270ffa74"",""source_segment_kind"":""line"",""geometry_policy"":""versioned-source-segment-delivery-path""}]",34.0,,,
4,CABLE-CAD-A5B6B,3590ffca2f065ffbaae5ead02f8183a83f30f81a4e5a69a5263f5f7a3d36fae2,e16bec18309e8a9c226842ff90c3f98e6dd8272ba4b7649d33094681a23d009f,A5B6B,SLING WIRE FDT 1,0,45bb3267cabb326bc80c09f2cfb881af9a1bf52f6dfd9cf7a04df6eaa8c524a3,line,ordered_wcs_vertices,23.6507015784175,2,23.6507015784175,cad2gis.bulge_tessellation.v1,cad_geometry_only,,,,23.6507015780909,23.655131835764497,23.6507015784175,unmeasured_no_dimension,,dwg_curve_geometry,m,cad2gis.cable_segment.v1,CABLE-CAD-A5B6B,,UNAVAILABLE,23.6507015780909,,UNAVAILABLE,SOURCE_ROUTE_SEGMENT,4,,BYLAYER,-1,0.0,0.0,0.0,CABLE:SLING WIRE|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""e16bec18309e8a9c226842ff90c3f98e6dd8272ba4b7649d33094681a23d009f"",""max_displacement_m"":0.0},{""operation"":""segment_occurrence"",""parent_feature_key"":""3590ffca2f065ffbaae5ead02f8183a83f30f81a4e5a69a5263f5f7a3d36fae2"",""segment_index"":0,""source_segment_key"":""45bb3267cabb326bc80c09f2cfb881af9a1bf52f6dfd9cf7a04df6eaa8c524a3"",""source_segment_kind"":""line"",""geometry_policy"":""versioned-source-segment-delivery-path""}]",23.6507015784175,,,
5,CABLE-CAD-A5E89,3690a0c4dd89d6ce16e88d291e0804ddb5254e9471b2bf93b402778750fd6ffb,4892a37db7d689cb01f7a21974ca30a11ea027e76b492438ef965ee006260d53,A5E89,SLING WIRE FDT 2,0,0740ccd15a4c67aeabe6aa11b06285989ce1fa1898dd242180b5ccb42c756d86,line,ordered_wcs_vertices,28.732340775975302,2,28.732340775975302,cad2gis.bulge_tessellation.v1,dimension_measured,b2e0c39aa23c3b6faed17950ff684e60d1a9deeba37aabd51727cf20ca4391ae,29.0,0.26765922402469755,28.73234077560834,28.737761931826654,29.0,measured,29m,dwg_dimension,m,cad2gis.cable_segment.v1,CABLE-CAD-A5E89,,UNAVAILABLE,28.73234077560834,,UNAVAILABLE,SOURCE_ROUTE_SEGMENT,4,,BYLAYER,-1,0.0,0.0,0.0,CABLE:SLING WIRE|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""4892a37db7d689cb01f7a21974ca30a11ea027e76b492438ef965ee006260d53"",""max_displacement_m"":0.0},{""operation"":""segment_occurrence"",""parent_feature_key"":""3690a0c4dd89d6ce16e88d291e0804ddb5254e9471b2bf93b402778750fd6ffb"",""segment_index"":0,""source_segment_key"":""0740ccd15a4c67aeabe6aa11b06285989ce1fa1898dd242180b5ccb42c756d86"",""source_segment_kind"":""line"",""geometry_policy"":""versioned-source-segment-delivery-path""}]",29.0,,,
6,CABLE-CAD-A5E8F,3b9bddd6d89acbcea4f0a20fed8052ab46dd71dc73cb2673ea7df192fc443840,6bd53183d02a9cd5bab85e44f33f1290115f2619e0caa22c3eb69e678936cb8c,A5E8F,SLING WIRE FDT 2,0,e6a2ad29bc5e2ed25584a2d5d30bcca9f13f0762b62930b429a1c93c66678180,line,ordered_wcs_vertices,29.1338985960428,2,29.1338985960428,cad2gis.bulge_tessellation.v1,dimension_measured,fa6b2569b59e478e249cb23011b516861227c8769f19f1e495298a8b589de563,29.0,-0.1338985960428012,29.133898596172152,29.1394448129131,29.0,measured,29m,dwg_dimension,m,cad2gis.cable_segment.v1,CABLE-CAD-A5E8F,,UNAVAILABLE,29.133898596172152,,UNAVAILABLE,SOURCE_ROUTE_SEGMENT,4,,BYLAYER,-1,0.0,0.0,0.0,CABLE:SLING WIRE|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""6bd53183d02a9cd5bab85e44f33f1290115f2619e0caa22c3eb69e678936cb8c"",""max_displacement_m"":0.0},{""operation"":""segment_occurrence"",""parent_feature_key"":""3b9bddd6d89acbcea4f0a20fed8052ab46dd71dc73cb2673ea7df192fc443840"",""segment_index"":0,""source_segment_key"":""e6a2ad29bc5e2ed25584a2d5d30bcca9f13f0762b62930b429a1c93c66678180"",""source_segment_kind"":""line"",""geometry_policy"":""versioned-source-segment-delivery-path""}]",29.0,,,
7,CABLE-CAD-A5B6E,471357b716fcce87a7b12cb4407dad010fac870e4a9bfdd2a5da4600cf82e543,739c7ac53e9d237c1134684227e412397249e606bd6dff27229cba4cedd9b634,A5B6E,SLING WIRE FDT 1,0,ed73825993b8f89c27c861774730ed7b68792c150366a352125532a156883b69,line,ordered_wcs_vertices,35.892879930574125,2,35.892879930574125,cad2gis.bulge_tessellation.v1,dimension_measured,f57347c9fe91fb3fdd2db2a6f39f6b5725b3040d62f8b51e425664b455dd31b5,36.0,0.10712006942587493,35.89287993057048,35.89961100002713,36.0,measured,36m,dwg_dimension,m,cad2gis.cable_segment.v1,CABLE-CAD-A5B6E,,UNAVAILABLE,35.89287993057048,,UNAVAILABLE,SOURCE_ROUTE_SEGMENT,4,,BYLAYER,-1,0.0,0.0,0.0,CABLE:SLING WIRE|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""739c7ac53e9d237c1134684227e412397249e606bd6dff27229cba4cedd9b634"",""max_displacement_m"":0.0},{""operation"":""segment_occurrence"",""parent_feature_key"":""471357b716fcce87a7b12cb4407dad010fac870e4a9bfdd2a5da4600cf82e543"",""segment_index"":0,""source_segment_key"":""ed73825993b8f89c27c861774730ed7b68792c150366a352125532a156883b69"",""source_segment_kind"":""line"",""geometry_policy"":""versioned-source-segment-delivery-path""}]",36.0,,,
8,CABLE-CAD-A5E85,680c678e15a003b75b45f6d63a0939e1c623bf7b26174169bb32a0f8decc4245,9f17e4a43c9a68752ff940db14c3338729901b16b0a6fdd4a4e06ae1f63867cc,A5E85,FO 48 CORE,0,88d084df4d1bdb37400881a1da936bc699b7ba18d026e282b90f03894b9a4143,line,ordered_wcs_vertices,33.62036763928926,2,33.62036763928926,cad2gis.bulge_tessellation.v1,dimension_measured,9f600307d50fe8b272a2d291938b2a395ef6b77e11d0019f3b348b884a186053,34.0,0.3796323607107368,33.62036763862244,33.62669425625022,34.0,measured,34m,dwg_dimension,m,cad2gis.cable_segment.v1,CABLE-CAD-A5E85,,UNAVAILABLE,33.62036763862244,,UNAVAILABLE,SOURCE_ROUTE_SEGMENT,204,,BYLAYER,-1,0.0,0.0,0.0,CABLE:48|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""9f17e4a43c9a68752ff940db14c3338729901b16b0a6fdd4a4e06ae1f63867cc"",""max_displacement_m"":0.0},{""operation"":""segment_occurrence"",""parent_feature_key"":""680c678e15a003b75b45f6d63a0939e1c623bf7b26174169bb32a0f8decc4245"",""segment_index"":0,""source_segment_key"":""88d084df4d1bdb37400881a1da936bc699b7ba18d026e282b90f03894b9a4143"",""source_segment_kind"":""line"",""geometry_policy"":""versioned-source-segment-delivery-path""}]",34.0,,,
9,CABLE-CAD-A5E85,680c678e15a003b75b45f6d63a0939e1c623bf7b26174169bb32a0f8decc4245,9f17e4a43c9a68752ff940db14c3338729901b16b0a6fdd4a4e06ae1f63867cc,A5E85,FO 48 CORE,1,765f734cb963bc24abbee4ae077abccce740d2d82777ef53c0d1c85f22b2d885,line,ordered_wcs_vertices,57.499838037868486,2,57.499838037868486,cad2gis.bulge_tessellation.v1,dimension_measured,fc34fc8edde992122c8d125aae4f1131a58fe09ee6e518f866c6655a17d21e86,57.0,-0.4998380378684857,57.49983803803666,57.51065316666249,57.0,measured,57m,dwg_dimension,m,cad2gis.cable_segment.v1,CABLE-CAD-A5E85,,UNAVAILABLE,57.49983803803666,,UNAVAILABLE,SOURCE_ROUTE_SEGMENT,204,,BYLAYER,-1,0.0,0.0,0.0,CABLE:48|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""9f17e4a43c9a68752ff940db14c3338729901b16b0a6fdd4a4e06ae1f63867cc"",""max_displacement_m"":0.0},{""operation"":""segment_occurrence"",""parent_feature_key"":""680c678e15a003b75b45f6d63a0939e1c623bf7b26174169bb32a0f8decc4245"",""segment_index"":1,""source_segment_key"":""765f734cb963bc24abbee4ae077abccce740d2d82777ef53c0d1c85f22b2d885"",""source_segment_kind"":""line"",""geometry_policy"":""versioned-source-segment-delivery-path""}]",57.0,,,
10,CABLE-CAD-A5E85,680c678e15a003b75b45f6d63a0939e1c623bf7b26174169bb32a0f8decc4245,9f17e4a43c9a68752ff940db14c3338729901b16b0a6fdd4a4e06ae1f63867cc,A5E85,FO 48 CORE,2,6fc16b8adfc613c9b61428bb8bbb778733983e0c619fb88b63b8393eca761615,line,ordered_wcs_vertices,22.209381553740453,2,22.209381553740453,cad2gis.bulge_tessellation.v1,cad_geometry_only,,,,22.20938155405817,22.21355645507685,22.209381553740453,unmeasured_no_dimension,,dwg_curve_geometry,m,cad2gis.cable_segment.v1,CABLE-CAD-A5E85,,UNAVAILABLE,22.20938155405817,,UNAVAILABLE,SOURCE_ROUTE_SEGMENT,204,,BYLAYER,-1,0.0,0.0,0.0,CABLE:48|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""9f17e4a43c9a68752ff940db14c3338729901b16b0a6fdd4a4e06ae1f63867cc"",""max_displacement_m"":0.0},{""operation"":""segment_occurrence"",""parent_feature_key"":""680c678e15a003b75b45f6d63a0939e1c623bf7b26174169bb32a0f8decc4245"",""segment_index"":2,""source_segment_key"":""6fc16b8adfc613c9b61428bb8bbb778733983e0c619fb88b63b8393eca761615"",""source_segment_kind"":""line"",""geometry_policy"":""versioned-source-segment-delivery-path""}]",22.209381553740453,,,
