fid,CODE,NOM,REF_PLAQUE,TYPE,NATURE,HAUTEUR_APPUI,TYPE_APPUI,EFFORT_APPUI,NB_BOITIERS,STATUT,PROPRIETAIRE,GESTIONNAIRE,ADRESSSE,VILLE,CODE_POSTAL,COMMENT,X,Y,display_label,label_provenance,source_entity_key,source_handle,source_layer,geometry_role,style_aci,style_truecolor,style_linetype,style_lineweight,style_rotation,style_rotation_deg,style_qgis_rotation_deg,style_render_key,lineage_json,source_cad_length_m,dimension_length_m,source_segment_sum_m,source_native_length_delta_m,delivery_grid_length_m,geodesic_length_m
1,MR.TGGR04-1.P009,,,,,,,,,,,,,,,,630230.2811952146,9314381.039166376,MR.TGGR04-1.P009,DWG_DERIVED:AI-ANNOTATION-OBSERVED_F6B8BD116445737BA00FB1D03FFCFB6F-001|RULE:AI-ANNOTATION-ASSIGN-001,55b87638afac3208308015ec16dc1770f15efd8e653ed68ea5576a120fe7d585,A5A79,NEW POLE 7m (3 inches) FDT 1,SOURCE_ASSET,4,,BYLAYER,-1,0.0,0.0,0.0,"PTECH:NP7 3""|ROT_QGIS:0.000000000","[{""operation"":""identity"",""source_entity_key"":""55b87638afac3208308015ec16dc1770f15efd8e653ed68ea5576a120fe7d585"",""max_displacement_m"":0.0}]",,,,,,
2,MR.TGGR04-2.P035,,,,,,,,,,,,,,,,629857.3555733586,9313813.002227725,MR.TGGR04-2.P035,DWG_DERIVED:AI-ANNOTATION-OBSERVED_7A0CD45381E5622D117427EB889EC999-001|RULE:AI-ANNOTATION-ASSIGN-001,e28013158a11bdcfeaa5668a006fdb68b696a05469ca7af943ab486e37ad56ac,A5D43,NEW POLE 7m (3 inches) FDT 2,SOURCE_ASSET,4,,BYLAYER,-1,0.0,0.0,0.0,"PTECH:NP7 3""|ROT_QGIS:0.000000000","[{""operation"":""identity"",""source_entity_key"":""e28013158a11bdcfeaa5668a006fdb68b696a05469ca7af943ab486e37ad56ac"",""max_displacement_m"":0.0}]",,,,,,
3,MR.TGGR04-1.P003,,,,,,,,,,,,,,,,630234.5680956884,9314183.531522404,MR.TGGR04-1.P003,DWG_DERIVED:AI-ANNOTATION-OBSERVED_9DDCA31EB0538363B8D5538CD30CA3B0-001|RULE:AI-ANNOTATION-ASSIGN-001,84fa49b07f963e1eb622a1ee0605a5bf6aaa15a948fc4f3a63e0d94ea416f7f1,A5B05,NEW POLE 7M 2.5INCH FDT 1,SOURCE_ASSET,212,,BYLAYER,-1,0.0,0.0,0.0,"PTECH:NP7 2.5""|ROT_QGIS:0.000000000","[{""operation"":""identity"",""source_entity_key"":""84fa49b07f963e1eb622a1ee0605a5bf6aaa15a948fc4f3a63e0d94ea416f7f1"",""max_displacement_m"":0.0}]",,,,,,
4,MR.TGGR04-1.P021,,,,,,,,,,,,,,,,630188.4945221023,9314574.87445712,MR.TGGR04-1.P021,DWG_DERIVED:AI-ANNOTATION-OBSERVED_F6B8BD116445737BA00FB1D03FFCFB6F-001|RULE:AI-ANNOTATION-ASSIGN-001,b2b1b65b277330821444b79ff598175309fc2fd49107519891ce308130f96189,A5ABF,NEW POLE 7m (3 inches) FDT 1,SOURCE_ASSET,4,,BYLAYER,-1,0.0,0.0,0.0,"PTECH:NP7 3""|ROT_QGIS:0.000000000","[{""operation"":""identity"",""source_entity_key"":""b2b1b65b277330821444b79ff598175309fc2fd49107519891ce308130f96189"",""max_displacement_m"":0.0}]",,,,,,
5,MR.TGGR04-2.P063,,,,,,,,,,,,,,,,629330.3764805138,9314045.546945984,MR.TGGR04-2.P063,DWG_DERIVED:AI-ANNOTATION-OBSERVED_7A0CD45381E5622D117427EB889EC999-001|RULE:AI-ANNOTATION-ASSIGN-001,807c68cae7d6e99369442a36ecd85171bff05731b05a0e1c8bb457ca9d442137,A5DCF,NEW POLE 7m (3 inches) FDT 2,SOURCE_ASSET,4,,BYLAYER,-1,0.0,0.0,0.0,"PTECH:NP7 3""|ROT_QGIS:0.000000000","[{""operation"":""identity"",""source_entity_key"":""807c68cae7d6e99369442a36ecd85171bff05731b05a0e1c8bb457ca9d442137"",""max_displacement_m"":0.0}]",,,,,,
6,MR.TGGR04-2.P027,,,,,,,,,,,,,,,,629982.1309207049,9313961.201320548,MR.TGGR04-2.P027,DWG_DERIVED:AI-ANNOTATION-OBSERVED_7A0CD45381E5622D117427EB889EC999-001|RULE:AI-ANNOTATION-ASSIGN-001,19f00d9538053ed76fc0debd88d00af85bf2b007c0b2d04c43b2110b71bb98c1,A5D19,NEW POLE 7m (3 inches) FDT 2,SOURCE_ASSET,4,,BYLAYER,-1,0.0,0.0,0.0,"PTECH:NP7 3""|ROT_QGIS:0.000000000","[{""operation"":""identity"",""source_entity_key"":""19f00d9538053ed76fc0debd88d00af85bf2b007c0b2d04c43b2110b71bb98c1"",""max_displacement_m"":0.0}]",,,,,,
7,MR.TGGR04-2.P011,,,,,,,,,,,,,,,,629924.7437648493,9314054.3758306,MR.TGGR04-2.P011,DWG_DERIVED:AI-ANNOTATION-OBSERVED_5577636E76166B75274F71DFBA514704-001|RULE:AI-ANNOTATION-ASSIGN-001,631448fe535305b350ba053267f9592aad19b2e514eb3e53d5d19802d1e3d757,A5BF2,BASIC MAP_PT,SOURCE_ASSET,212,,BYLAYER,-1,0.0,0.0,0.0,PTECH:EXISTING|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""631448fe535305b350ba053267f9592aad19b2e514eb3e53d5d19802d1e3d757"",""max_displacement_m"":0.0}]",,,,,,
8,EXT.MR.WLT2.TGGR04-2.P004,,,,,,,,,,,,,,,,630282.6063508085,9314185.997220557,EXT.MR.WLT2.TGGR04-2.P004,DWG_DERIVED:AI-ANNOTATION-OBSERVED_8F75A35FB5F1D65C797BDA444F709364-001|RULE:AI-ANNOTATION-ASSIGN-001,87f6d06ab068fceeebc9e9661b964bdf41ee7414064800e451a460f2788a25ae,A5A3A,EXT POLE FDT 1,SOURCE_ASSET,1,,BYLAYER,-1,0.0,0.0,0.0,PTECH:EXISTING|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""87f6d06ab068fceeebc9e9661b964bdf41ee7414064800e451a460f2788a25ae"",""max_displacement_m"":0.0}]",,,,,,
9,MR.TGGR04-2.P039,,,,,,,,,,,,,,,,629758.6976396966,9313898.416815504,MR.TGGR04-2.P039,DWG_DERIVED:AI-ANNOTATION-OBSERVED_7A0CD45381E5622D117427EB889EC999-001|RULE:AI-ANNOTATION-ASSIGN-001,8dfd19d97e4ebcdecc0bacdf0ea5a05d073e415fe5ccba8635b500b67a9c85c6,A5D51,NEW POLE 7m (3 inches) FDT 2,SOURCE_ASSET,4,,BYLAYER,-1,0.0,0.0,0.0,"PTECH:NP7 3""|ROT_QGIS:0.000000000","[{""operation"":""identity"",""source_entity_key"":""8dfd19d97e4ebcdecc0bacdf0ea5a05d073e415fe5ccba8635b500b67a9c85c6"",""max_displacement_m"":0.0}]",,,,,,
10,MR.TGGR04-2.P036,,,,,,,,,,,,,,,,629882.5812766494,9313799.246817883,MR.TGGR04-2.P036,DWG_DERIVED:AI-ANNOTATION-OBSERVED_5577636E76166B75274F71DFBA514704-001|RULE:AI-ANNOTATION-ASSIGN-001,9373f4b38531e6df065c77cf1e90182155f9377ece4d1182a239f6fbce5a8f6b,A5E31,NEW POLE 7M 2.5INCH FDT 2,SOURCE_ASSET,212,,BYLAYER,-1,0.0,0.0,0.0,"PTECH:NP7 2.5""|ROT_QGIS:0.000000000","[{""operation"":""identity"",""source_entity_key"":""9373f4b38531e6df065c77cf1e90182155f9377ece4d1182a239f6fbce5a8f6b"",""max_displacement_m"":0.0}]",,,,,,
