fid,CODE,REF_PLAQUE,REGION,PROVINCE,VILLE,COMMUNE,CODE_POSTAL,NUMERO_VOIE,TYPE_VOIE,TYPE_BATIMENT,TYPE_CLIENT,NB_LOC_RES,NB_LOC_PRO,NB_LOC_TOT,RACCORDEMENT,STATUT,NB_ETAGE,COL_MONTANTE,SOUS_SOL,SOUS_SOL_COMMUN,BPE_CODE,X,Y,display_label,label_provenance,source_entity_key,source_handle,source_layer,geometry_role,style_aci,style_truecolor,style_linetype,style_lineweight,style_rotation,style_rotation_deg,style_qgis_rotation_deg,style_render_key,lineage_json,source_cad_length_m,dimension_length_m,source_segment_sum_m,source_native_length_delta_m,delivery_grid_length_m,geodesic_length_m
1,NN-326,,,,,,,,,,,,,,,,,,,,,629912.0596666719,9313820.64182106,NN-326,DWG_DIRECT:text|RULE:AI-IMB-LABEL-001,f3482cc619518988fe79895fa5f114bac117aad6add2dd929f640fb7c2179778,A4A2D,Home Number RW 01 FDT 2,SOURCE_HOME_LABEL,6,,BYLAYER,-1,0.0,0.0,0.0,ACI:6|LT:BYLAYER|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""f3482cc619518988fe79895fa5f114bac117aad6add2dd929f640fb7c2179778"",""max_displacement_m"":0.0}]",,,,,,
2,NN-332,,,,,,,,,,,,,,,,,,,,,630228.3398271786,9314452.625695081,NN-332,DWG_DIRECT:text|RULE:AI-IMB-LABEL-001,b972657e840e9b3ff7f04b3eea671195d6e7db9881b531661c722366efaa5434,A484F,Home Number RW 01 FDT 1,SOURCE_HOME_LABEL,6,,BYLAYER,-1,0.0,0.0,0.0,ACI:6|LT:BYLAYER|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""b972657e840e9b3ff7f04b3eea671195d6e7db9881b531661c722366efaa5434"",""max_displacement_m"":0.0}]",,,,,,
3,NN-158,,,,,,,,,,,,,,,,,,,,,630144.0923364818,9314516.489008557,NN-158,DWG_DIRECT:text|RULE:AI-IMB-LABEL-001,28a25cd2eee4bbee792fc8e2d6a08da44b87cb7464278b977be451b6d30e1605,A4895,Home Number RW 01 FDT 1,SOURCE_HOME_LABEL,6,,BYLAYER,-1,0.0,0.0,0.0,ACI:6|LT:BYLAYER|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""28a25cd2eee4bbee792fc8e2d6a08da44b87cb7464278b977be451b6d30e1605"",""max_displacement_m"":0.0}]",,,,,,
4,NN-135,,,,,,,,,,,,,,,,,,,,,630102.9138048893,9314398.963033753,NN-135,DWG_DIRECT:text|RULE:AI-IMB-LABEL-001,aeb401e5c74e9995c843aa44279e69aebae902e47c1ffbc7f8d8922cd0bd1458,A48F3,Home Number RW 01 FDT 1,SOURCE_HOME_LABEL,6,,BYLAYER,-1,0.0,0.0,0.0,ACI:6|LT:BYLAYER|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""aeb401e5c74e9995c843aa44279e69aebae902e47c1ffbc7f8d8922cd0bd1458"",""max_displacement_m"":0.0}]",,,,,,
5,NN-435,,,,,,,,,,,,,,,,,,,,,630019.1124749713,9313963.946531612,NN-435,DWG_DIRECT:text|RULE:AI-IMB-LABEL-001,387d6c40331259248145c20404463927489c3eab67fa33de98805217a3ec2d63,A49E9,Home Number RW 01 FDT 2,SOURCE_HOME_LABEL,6,,BYLAYER,-1,0.0,0.0,0.0,ACI:6|LT:BYLAYER|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""387d6c40331259248145c20404463927489c3eab67fa33de98805217a3ec2d63"",""max_displacement_m"":0.0}]",,,,,,
6,NN-412,,,,,,,,,,,,,,,,,,,,,630023.90979582,9313878.137224598,NN-412,DWG_DIRECT:text|RULE:AI-IMB-LABEL-001,5b7968ba392cde85ab37aa32646de46e79e40c257f99e6259014f0ae3878fdc3,A4A21,Home Number RW 01 FDT 2,SOURCE_HOME_LABEL,6,,BYLAYER,-1,0.0,0.0,0.0,ACI:6|LT:BYLAYER|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""5b7968ba392cde85ab37aa32646de46e79e40c257f99e6259014f0ae3878fdc3"",""max_displacement_m"":0.0}]",,,,,,
7,NN-141,,,,,,,,,,,,,,,,,,,,,630186.4488576388,9314516.547792912,NN-141,DWG_DIRECT:text|RULE:AI-IMB-LABEL-001,68c4965121cbdec22b4b4769a3b9c304e62c36501e77aa2617aeca591fe6709d,A489B,Home Number RW 01 FDT 1,SOURCE_HOME_LABEL,6,,BYLAYER,-1,0.0,0.0,0.0,ACI:6|LT:BYLAYER|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""68c4965121cbdec22b4b4769a3b9c304e62c36501e77aa2617aeca591fe6709d"",""max_displacement_m"":0.0}]",,,,,,
8,NN-167,,,,,,,,,,,,,,,,,,,,,629879.5222803922,9313848.79703203,NN-167,DWG_DIRECT:text|RULE:AI-IMB-LABEL-001,002e367f65c6285765315612d9991f9a064ed69bcb879655fbef32df2d6ac913,A4A47,Home Number RW 01 FDT 2,SOURCE_HOME_LABEL,6,,BYLAYER,-1,0.0,0.0,0.0,ACI:6|LT:BYLAYER|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""002e367f65c6285765315612d9991f9a064ed69bcb879655fbef32df2d6ac913"",""max_displacement_m"":0.0}]",,,,,,
9,NN-437,,,,,,,,,,,,,,,,,,,,,630018.4445064237,9313982.041397743,NN-437,DWG_DIRECT:text|RULE:AI-IMB-LABEL-001,e65e4e3b2555ee40909555c6b168b726673bdf29dddfc22f06beb2828a0fc92c,A49E5,Home Number RW 01 FDT 2,SOURCE_HOME_LABEL,6,,BYLAYER,-1,0.0,0.0,0.0,ACI:6|LT:BYLAYER|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""e65e4e3b2555ee40909555c6b168b726673bdf29dddfc22f06beb2828a0fc92c"",""max_displacement_m"":0.0}]",,,,,,
10,NN-34,,,,,,,,,,,,,,,,,,,,,629910.301738568,9313875.36291417,NN-34,DWG_DIRECT:text|RULE:AI-IMB-LABEL-001,c7cfb9f2cdee6db89fb71f3568dde8d4d55776141958b44953ee8bde501c4093,A4A07,Home Number RW 01 FDT 2,SOURCE_HOME_LABEL,6,,BYLAYER,-1,0.0,0.0,0.0,ACI:6|LT:BYLAYER|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""c7cfb9f2cdee6db89fb71f3568dde8d4d55776141958b44953ee8bde501c4093"",""max_displacement_m"":0.0}]",,,,,,
