fid,CODE,CODE_PTC,REF_PLAQUE,REF_NRO,REF_PM,TYPE,TYPE_STRUCTURE,MODE_POSE,CAPACITE,NB_LOGEMENT,NB_SPLICES,NB_FIBRE_UTIL,FABRIQUANT,REF_BPE,NB_CASSETTES_MAX,CABLE_AMONT,STATUT,PROPRIETAIRE,GESTIONNAIRE,ADRESSSE,VILLE,CODE_POSTAL,COMMENT,X,Y,display_label,label_provenance,source_entity_key,source_handle,source_layer,geometry_role,style_aci,style_truecolor,style_linetype,style_lineweight,style_rotation,style_rotation_deg,style_qgis_rotation_deg,style_render_key,lineage_json,source_cad_length_m,dimension_length_m,source_segment_sum_m,source_native_length_delta_m,delivery_grid_length_m,geodesic_length_m
1,TGGR04-1.022.A03,,,,,,,,,,,,,,,,,,,,,,,630239.9189279047,9314224.187761037,TGGR04-1.022.A03 · 1,DWG_DERIVED:AI-ANNOTATION-OBSERVED_57E087A37B05A51B896DF9D2FE7F9E6E-001|RULE:AI-ANNOTATION-ASSIGN-001|DWG_DERIVED:nearby-integer-label,522ca142c93f602dbb207c2a4164896a968c0589ee1e083e02e0aca02b2041b5,A5B79,FAT,SOURCE_ASSET,40,,BYLAYER,-1,0.0,0.0,0.0,ACI:40|LT:BYLAYER|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""rectangular_frame_centroid"",""source_entity_key"":""522ca142c93f602dbb207c2a4164896a968c0589ee1e083e02e0aca02b2041b5"",""max_displacement_m"":0.0},{""operation"":""select_device_number_label"",""source_entity_key"":""de840d6dd2a808882e1908b1f589046d048abf136822cf1060da6f987571bdd9"",""source_handle"":""A5F26"",""target_source_entity_key"":""522ca142c93f602dbb207c2a4164896a968c0589ee1e083e02e0aca02b2041b5"",""field_name"":""DEVICE_NUMBER"",""selected_value"":""1"",""distance_native_m"":1.2759231374966564,""method"":""nearest_unused_integer_label_within_20_native_m"",""review_status"":""required"",""geometry_changed"":false},{""operation"":""collocate_with_support"",""source_entity_key"":""522ca142c93f602dbb207c2a4164896a968c0589ee1e083e02e0aca02b2041b5"",""support_feature_key"":""85c69a376ee2442e95cb4f48931519b770140e87144629898215771b8085833f"",""support_handle"":""A5A4F"",""max_displacement_m"":1.0534147940721836}]",,,,,,
2,TGGR04-1.022.A06,,,,,,,,,,,,,,,,,,,,,,,630208.2770717737,9314503.903342698,TGGR04-1.022.A06 · 16,DWG_DERIVED:AI-ANNOTATION-OBSERVED_57E087A37B05A51B896DF9D2FE7F9E6E-001|RULE:AI-ANNOTATION-ASSIGN-001|DWG_DERIVED:nearby-integer-label,3f94552ec8a09f96f914b9c1ddb23e1b385bd38a98272263eafd5072dd447a42,A5B85,FAT,SOURCE_ASSET,40,,BYLAYER,-1,0.0,0.0,0.0,ACI:40|LT:BYLAYER|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""rectangular_frame_centroid"",""source_entity_key"":""3f94552ec8a09f96f914b9c1ddb23e1b385bd38a98272263eafd5072dd447a42"",""max_displacement_m"":0.0},{""operation"":""select_device_number_label"",""source_entity_key"":""7841ae110fb77ce3d6dcc1a1beaced6aa21aa7c940663eea7d6218a1ffb7d036"",""source_handle"":""A5B87"",""target_source_entity_key"":""3f94552ec8a09f96f914b9c1ddb23e1b385bd38a98272263eafd5072dd447a42"",""field_name"":""DEVICE_NUMBER"",""selected_value"":""16"",""distance_native_m"":2.1665940591667177,""method"":""nearest_unused_integer_label_within_20_native_m"",""review_status"":""required"",""geometry_changed"":false},{""operation"":""collocate_with_support"",""source_entity_key"":""3f94552ec8a09f96f914b9c1ddb23e1b385bd38a98272263eafd5072dd447a42"",""support_feature_key"":""6c04c56d7ce7d894abd7c47e72eb1123b188c9edd9788203defd34558c444f2b"",""support_handle"":""A5AAA"",""max_displacement_m"":2.042912612562242}]",,,,,,
3,TGGR04-2.023.A16,,,,,,,,,,,,,,,,,,,,,,,629382.5683706644,9313948.009312056,TGGR04-2.023.A16 · 16,DWG_DERIVED:AI-ANNOTATION-OBSERVED_57E087A37B05A51B896DF9D2FE7F9E6E-001|RULE:AI-ANNOTATION-ASSIGN-001|DWG_DERIVED:nearby-integer-label,2082248bf69727fdbfd5982ed3355665c072c2b865134f3eac0f0cd8a5dedd8f,A5EE2,FAT,SOURCE_ASSET,40,,BYLAYER,-1,0.0,0.0,0.0,ACI:40|LT:BYLAYER|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""rectangular_frame_centroid"",""source_entity_key"":""2082248bf69727fdbfd5982ed3355665c072c2b865134f3eac0f0cd8a5dedd8f"",""max_displacement_m"":0.0},{""operation"":""select_device_number_label"",""source_entity_key"":""79bafaa08e3bb351197d916c0daf568ce002eb26ac2ed8ba4ff8424fabf079cc"",""source_handle"":""A5EE4"",""target_source_entity_key"":""2082248bf69727fdbfd5982ed3355665c072c2b865134f3eac0f0cd8a5dedd8f"",""field_name"":""DEVICE_NUMBER"",""selected_value"":""16"",""distance_native_m"":2.166594059166637,""method"":""nearest_unused_integer_label_within_20_native_m"",""review_status"":""required"",""geometry_changed"":false},{""operation"":""collocate_with_support"",""source_entity_key"":""2082248bf69727fdbfd5982ed3355665c072c2b865134f3eac0f0cd8a5dedd8f"",""support_feature_key"":""ab06fc889311a0053251a4251f295a45e1f713a7513266bb9e2b0bf6dd20eb81"",""support_handle"":""A5DAC"",""max_displacement_m"":2.0827448331616583}]",,,,,,
4,TGGR04-2.023.A01,,,,,,,,,,,,,,,,,,,,,,,630024.9150838341,9314111.723779107,TGGR04-2.023.A01 · 16,DWG_DERIVED:AI-ANNOTATION-OBSERVED_57E087A37B05A51B896DF9D2FE7F9E6E-001|RULE:AI-ANNOTATION-ASSIGN-001|DWG_DERIVED:nearby-integer-label,cc59329f2c9770471b09669599d4303b0fa9541700505bc0296f9ed6479c5c51,A5EAE,FAT,SOURCE_ASSET,40,,BYLAYER,-1,0.0,0.0,0.0,ACI:40|LT:BYLAYER|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""rectangular_frame_centroid"",""source_entity_key"":""cc59329f2c9770471b09669599d4303b0fa9541700505bc0296f9ed6479c5c51"",""max_displacement_m"":0.0},{""operation"":""select_device_number_label"",""source_entity_key"":""deeba6c0811144cfe9f2e036444b60485b475855285c99899c70fafebbb8ed4a"",""source_handle"":""A5EB0"",""target_source_entity_key"":""cc59329f2c9770471b09669599d4303b0fa9541700505bc0296f9ed6479c5c51"",""field_name"":""DEVICE_NUMBER"",""selected_value"":""16"",""distance_native_m"":2.166594059166637,""method"":""nearest_unused_integer_label_within_20_native_m"",""review_status"":""required"",""geometry_changed"":false},{""operation"":""collocate_with_support"",""source_entity_key"":""cc59329f2c9770471b09669599d4303b0fa9541700505bc0296f9ed6479c5c51"",""support_feature_key"":""4d0f408bfc6dc47edf8be2f3a1b190f3000afac4dc1b7e1681bf6264ac3cbd2b"",""support_handle"":""A5E91"",""max_displacement_m"":1.7392665408684282}]",,,,,,
5,TGGR04-1.022.A07,,,,,,,,,,,,,,,,,,,,,,,630173.4448588153,9314534.928634215,TGGR04-1.022.A07 · 16,DWG_DERIVED:AI-ANNOTATION-OBSERVED_57E087A37B05A51B896DF9D2FE7F9E6E-001|RULE:AI-ANNOTATION-ASSIGN-001|DWG_DERIVED:nearby-integer-label,801bb525a33ad5067b1235b1d42fadc36dcc1b692d66fe1e3222bd3114b76373,A5B8A,FAT,SOURCE_ASSET,40,,BYLAYER,-1,0.0,0.0,0.0,ACI:40|LT:BYLAYER|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""rectangular_frame_centroid"",""source_entity_key"":""801bb525a33ad5067b1235b1d42fadc36dcc1b692d66fe1e3222bd3114b76373"",""max_displacement_m"":0.0},{""operation"":""select_device_number_label"",""source_entity_key"":""8f9c72db03fe788849d0e8e0cefaf2e29fa3a73415c5f1340b9299d80aa5290b"",""source_handle"":""A5B8B"",""target_source_entity_key"":""801bb525a33ad5067b1235b1d42fadc36dcc1b692d66fe1e3222bd3114b76373"",""field_name"":""DEVICE_NUMBER"",""selected_value"":""16"",""distance_native_m"":2.166594059166212,""method"":""nearest_unused_integer_label_within_20_native_m"",""review_status"":""required"",""geometry_changed"":false},{""operation"":""collocate_with_support"",""source_entity_key"":""801bb525a33ad5067b1235b1d42fadc36dcc1b692d66fe1e3222bd3114b76373"",""support_feature_key"":""571b5e198626c2434946c81f5d1491375ad28b5c0bded67db6f58eda52dafded"",""support_handle"":""A5AB8"",""max_displacement_m"":1.9630079882126192}]",,,,,,
6,TGGR04-2.023.A20,,,,,,,,,,,,,,,,,,,,,,,629290.4116894555,9314082.173798721,TGGR04-2.023.A20 · 16,DWG_DERIVED:AI-ANNOTATION-OBSERVED_57E087A37B05A51B896DF9D2FE7F9E6E-001|RULE:AI-ANNOTATION-ASSIGN-001|DWG_DERIVED:nearby-integer-label,6819aff37bab98bb3754bca4928112ae82d8ca167651de1784599a5fb91594cd,A5EF2,FAT,SOURCE_ASSET,40,,BYLAYER,-1,0.0,0.0,0.0,ACI:40|LT:BYLAYER|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""rectangular_frame_centroid"",""source_entity_key"":""6819aff37bab98bb3754bca4928112ae82d8ca167651de1784599a5fb91594cd"",""max_displacement_m"":0.0},{""operation"":""select_device_number_label"",""source_entity_key"":""db280a588bc834db6a9956142f340f5a80a9b5d7335dac9e96f32e023a5352da"",""source_handle"":""A5EF4"",""target_source_entity_key"":""6819aff37bab98bb3754bca4928112ae82d8ca167651de1784599a5fb91594cd"",""field_name"":""DEVICE_NUMBER"",""selected_value"":""16"",""distance_native_m"":2.16659405916597,""method"":""nearest_unused_integer_label_within_20_native_m"",""review_status"":""required"",""geometry_changed"":false},{""operation"":""collocate_with_support"",""source_entity_key"":""6819aff37bab98bb3754bca4928112ae82d8ca167651de1784599a5fb91594cd"",""support_feature_key"":""68e46cbbb950638ef5fa5c298f30d474bb96a0532a39d929cd8580194e7e5a68"",""support_handle"":""A5DE4"",""max_displacement_m"":0.11642391754827568}]",,,,,,
7,TGGR04-1.022.A01,,,,,,,,,,,,,,,,,,,,,,,630340.3068272762,9314230.948251624,TGGR04-1.022.A01 · 16,DWG_DERIVED:AI-ANNOTATION-OBSERVED_57E087A37B05A51B896DF9D2FE7F9E6E-001|RULE:AI-ANNOTATION-ASSIGN-001|DWG_DERIVED:nearby-integer-label,70204753936cff3858c0705f4f92658b2ea2aae98b881e29e0952ccd606c5f22,A5B72,FAT,SOURCE_ASSET,40,,BYLAYER,-1,0.0,0.0,0.0,ACI:40|LT:BYLAYER|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""rectangular_frame_centroid"",""source_entity_key"":""70204753936cff3858c0705f4f92658b2ea2aae98b881e29e0952ccd606c5f22"",""max_displacement_m"":0.0},{""operation"":""select_device_number_label"",""source_entity_key"":""fc2c1879c3b127ec38fb204119b02916a59918fc9c76d5bc57c0c3c971710643"",""source_handle"":""A5B73"",""target_source_entity_key"":""70204753936cff3858c0705f4f92658b2ea2aae98b881e29e0952ccd606c5f22"",""field_name"":""DEVICE_NUMBER"",""selected_value"":""16"",""distance_native_m"":2.166594059166292,""method"":""nearest_unused_integer_label_within_20_native_m"",""review_status"":""required"",""geometry_changed"":false},{""operation"":""collocate_with_support"",""source_entity_key"":""70204753936cff3858c0705f4f92658b2ea2aae98b881e29e0952ccd606c5f22"",""support_feature_key"":""cd3c3ee6ef39553658e0805b72e5a6af4ea63fcfa352a4c367c7cbca2a9a4a52"",""support_handle"":""A5A25"",""max_displacement_m"":1.746158482717251}]",,,,,,
8,TGGR04-2.023.A11,,,,,,,,,,,,,,,,,,,,,,,629857.3555733586,9313813.002227725,TGGR04-2.023.A11 · 2,DWG_DERIVED:AI-ANNOTATION-OBSERVED_57E087A37B05A51B896DF9D2FE7F9E6E-001|RULE:AI-ANNOTATION-ASSIGN-001|DWG_DERIVED:nearby-integer-label,14282c8c157cc1d80d016555fd31d39e30cd8ce09f214723b419c6450fb0d74b,A5ECE,FAT,SOURCE_ASSET,40,,BYLAYER,-1,0.0,0.0,0.0,ACI:40|LT:BYLAYER|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""rectangular_frame_centroid"",""source_entity_key"":""14282c8c157cc1d80d016555fd31d39e30cd8ce09f214723b419c6450fb0d74b"",""max_displacement_m"":0.0},{""operation"":""select_device_number_label"",""source_entity_key"":""79e9677efac7b3b124e412205bec64c79ffe4978ae04085cd96e0df722aa21d4"",""source_handle"":""A5F71"",""target_source_entity_key"":""14282c8c157cc1d80d016555fd31d39e30cd8ce09f214723b419c6450fb0d74b"",""field_name"":""DEVICE_NUMBER"",""selected_value"":""2"",""distance_native_m"":0.7970499859965094,""method"":""nearest_unused_integer_label_within_20_native_m"",""review_status"":""required"",""geometry_changed"":false},{""operation"":""collocate_with_support"",""source_entity_key"":""14282c8c157cc1d80d016555fd31d39e30cd8ce09f214723b419c6450fb0d74b"",""support_feature_key"":""03277e6477697454783dd8ea4020d662034f2517f2ade17a6295071c2280bc64"",""support_handle"":""A5D43"",""max_displacement_m"":1.0303840135346605}]",,,,,,
9,TGGR04-1.022.A04,,,,,,,,,,,,,,,,,,,,,,,630251.9362729902,9314381.246827757,TGGR04-1.022.A04 · 16,DWG_DERIVED:AI-ANNOTATION-OBSERVED_57E087A37B05A51B896DF9D2FE7F9E6E-001|RULE:AI-ANNOTATION-ASSIGN-001|DWG_DERIVED:nearby-integer-label,18d0582cd21a53f6acf497f56d774cc1b99d0f118537e07cd4548ddbd3673fea,A5B7D,FAT,SOURCE_ASSET,40,,BYLAYER,-1,0.0,0.0,0.0,ACI:40|LT:BYLAYER|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""rectangular_frame_centroid"",""source_entity_key"":""18d0582cd21a53f6acf497f56d774cc1b99d0f118537e07cd4548ddbd3673fea"",""max_displacement_m"":0.0},{""operation"":""select_device_number_label"",""source_entity_key"":""f52b178e33b52990d4f52a06698aabd5bc880fa5ba7169187e00674f61a05154"",""source_handle"":""A5B7F"",""target_source_entity_key"":""18d0582cd21a53f6acf497f56d774cc1b99d0f118537e07cd4548ddbd3673fea"",""field_name"":""DEVICE_NUMBER"",""selected_value"":""16"",""distance_native_m"":2.166594059166292,""method"":""nearest_unused_integer_label_within_20_native_m"",""review_status"":""required"",""geometry_changed"":false},{""operation"":""collocate_with_support"",""source_entity_key"":""18d0582cd21a53f6acf497f56d774cc1b99d0f118537e07cd4548ddbd3673fea"",""support_feature_key"":""8184e499286a1254772d9958340cbba39f3a810bccd1c343b086adccd82ea136"",""support_handle"":""A5A72"",""max_displacement_m"":0.20386521680659314}]",,,,,,
10,TGGR04-1.022.A10,,,,,,,,,,,,,,,,,,,,,,,630144.1150118469,9314461.25536266,TGGR04-1.022.A10 · 16,DWG_DERIVED:AI-ANNOTATION-OBSERVED_57E087A37B05A51B896DF9D2FE7F9E6E-001|RULE:AI-ANNOTATION-ASSIGN-001|DWG_DERIVED:nearby-integer-label,ba79b54cc8d67b57edc8ea8fd1fbc241d9f487db486e66769a8419d832d10f24,A5B96,FAT,SOURCE_ASSET,40,,BYLAYER,-1,0.0,0.0,0.0,ACI:40|LT:BYLAYER|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""rectangular_frame_centroid"",""source_entity_key"":""ba79b54cc8d67b57edc8ea8fd1fbc241d9f487db486e66769a8419d832d10f24"",""max_displacement_m"":0.0},{""operation"":""select_device_number_label"",""source_entity_key"":""2cfd9bbf7f2ce7ca51cabd9f08f8fa199e1bf718339a277b5168426011cc1fef"",""source_handle"":""A5B97"",""target_source_entity_key"":""ba79b54cc8d67b57edc8ea8fd1fbc241d9f487db486e66769a8419d832d10f24"",""field_name"":""DEVICE_NUMBER"",""selected_value"":""16"",""distance_native_m"":2.1665940591665565,""method"":""nearest_unused_integer_label_within_20_native_m"",""review_status"":""required"",""geometry_changed"":false},{""operation"":""collocate_with_support"",""source_entity_key"":""ba79b54cc8d67b57edc8ea8fd1fbc241d9f487db486e66769a8419d832d10f24"",""support_feature_key"":""c4a2f911b79d3f0dcdd700b161a9e9b0c88862cabee73921c9b4324453c3f3ce"",""support_handle"":""A5ADB"",""max_displacement_m"":0.20386521680598596}]",,,,,,
