fid,CODE,NOM,REF_PLAQUE,TYPE,NATURE,HAUTEUR_APPUI,TYPE_APPUI,EFFORT_APPUI,NB_BOITIERS,STATUT,PROPRIETAIRE,GESTIONNAIRE,ADRESSSE,VILLE,CODE_POSTAL,COMMENT,X,Y,display_label,label_provenance,source_entity_key,source_handle,source_layer,geometry_role,style_aci,style_truecolor,style_linetype,style_lineweight,style_rotation,style_rotation_deg,style_qgis_rotation_deg,style_render_key,lineage_json,source_cad_length_m,dimension_length_m,source_segment_sum_m,source_native_length_delta_m,delivery_grid_length_m,geodesic_length_m
1,MR.KLK5.P031,,,,,,,,,,,,,,,,12543857.078992747,-821472.1658857897,MR.KLK5.P031,DWG_DERIVED:AI-ANNOTATION-AUTO_POLE_ID_FDT_2_73-001|RULE:AI-ANNOTATION-ASSIGN-001,ce99448287f0ae0a44ed1cfa2bb367f69d1f7d691ee0f6eb52726fae1ea10d1c,12A5,NEW POLE FDT 1,SOURCE_ASSET,4,,BYLAYER,-1,6.227600685485791,356.8152357711142,2.9887269046370344,"PTECH:NP7 3""|ROT_QGIS:2.988726905","[{""operation"":""identity"",""source_entity_key"":""ce99448287f0ae0a44ed1cfa2bb367f69d1f7d691ee0f6eb52726fae1ea10d1c"",""max_displacement_m"":0.0}]",,,,,,
2,MR.KLK5.P012,,,,,,,,,,,,,,,,12543584.983871479,-821590.6802629252,MR.KLK5.P012,DWG_DERIVED:AI-ANNOTATION-AUTO_POLE_ID_FDT_2_73-001|RULE:AI-ANNOTATION-ASSIGN-001,40842f0dd1aee22cc0b413b5abb0562fca1693866d60326ff71ae9b92327196a,CF3,NEW POLE FDT 1,SOURCE_ASSET,4,,BYLAYER,-1,6.227600685485791,356.8152357711142,2.9890112985443738,"PTECH:NP7 3""|ROT_QGIS:2.989011299","[{""operation"":""identity"",""source_entity_key"":""40842f0dd1aee22cc0b413b5abb0562fca1693866d60326ff71ae9b92327196a"",""max_displacement_m"":0.0}]",,,,,,
3,MR.KLK5.P006,,,,,,,,,,,,,,,,12543766.163173446,-821522.801149031,MR.KLK5.P006,DWG_DERIVED:AI-ANNOTATION-AUTO_POLE_ID_2_5-001|RULE:AI-ANNOTATION-ASSIGN-001,5f9de331b28734c840c2e67497af5c46ae3a94f123cdf0d4f1c8168d182e7489,12D3,NEW POLE FDT 1,SOURCE_ASSET,4,,BYLAYER,-1,6.227600685485791,356.8152357711142,2.9888190368809644,"PTECH:NP7 3""|ROT_QGIS:2.988819037","[{""operation"":""identity"",""source_entity_key"":""5f9de331b28734c840c2e67497af5c46ae3a94f123cdf0d4f1c8168d182e7489"",""max_displacement_m"":0.0}]",,,,,,
4,MR.KLK5.P024,,,,,,,,,,,,,,,,12543597.236698033,-821523.5033713441,MR.KLK5.P024,DWG_DERIVED:AI-ANNOTATION-AUTO_POLE_ID_2_5-001|RULE:AI-ANNOTATION-ASSIGN-001,e839722b7e8a363402702114fa72f2546f6a42288ebb0fcde86e568a8edf7c71,1281,NEW POLE FDT 1,SOURCE_ASSET,4,,BYLAYER,-1,6.227600685485791,356.8152357711142,2.9890146916700164,"PTECH:NP7 3""|ROT_QGIS:2.989014692","[{""operation"":""identity"",""source_entity_key"":""e839722b7e8a363402702114fa72f2546f6a42288ebb0fcde86e568a8edf7c71"",""max_displacement_m"":0.0}]",,,,,,
5,MR.KLK5.P001,,,,,,,,,,,,,,,,12543662.375859011,-821462.7867787112,MR.KLK5.P001,DWG_DERIVED:AI-ANNOTATION-AUTO_POLE_ID_FDT_2_73-001|RULE:AI-ANNOTATION-ASSIGN-001,08b32d4b19c2104362149864e1a0f8981f8ec08e8643602ead56fcbfd9fc1128,1290,NEW POLE FDT 1,SOURCE_ASSET,4,,BYLAYER,-1,6.227600685485791,356.8152357711142,2.9889550837406076,"PTECH:NP7 3""|ROT_QGIS:2.988955084","[{""operation"":""identity"",""source_entity_key"":""08b32d4b19c2104362149864e1a0f8981f8ec08e8643602ead56fcbfd9fc1128"",""max_displacement_m"":0.0}]",,,,,,
6,MR.KLK5.P022,,,,,,,,,,,,,,,,12543600.498929556,-821504.5012110992,MR.KLK5.P022,DWG_DERIVED:AI-ANNOTATION-AUTO_POLE_ID_FDT_2_73-001|RULE:AI-ANNOTATION-ASSIGN-001,987825b127779e12a9cd3e1933fbbe8c5e99eed7e8125c57496a5a84815444e0,1284,NEW POLE FDT 1,SOURCE_ASSET,4,,BYLAYER,-1,6.227600685485791,356.8152357711142,2.9890158937402203,"PTECH:NP7 3""|ROT_QGIS:2.989015894","[{""operation"":""identity"",""source_entity_key"":""987825b127779e12a9cd3e1933fbbe8c5e99eed7e8125c57496a5a84815444e0"",""max_displacement_m"":0.0}]",,,,,,
7,MR.KLK5.P026,,,,,,,,,,,,,,,,12543705.938319273,-821464.3393417794,MR.KLK5.P026,DWG_DERIVED:AI-ANNOTATION-AUTO_POLE_ID_2_5-001|RULE:AI-ANNOTATION-ASSIGN-001,d4e9a06f2fa9ca3993e207ec352698e28f9337e44437b0abcda87aaf7a3a1eb5,1296,NEW POLE FDT 1,SOURCE_ASSET,4,,BYLAYER,-1,6.227600685485791,356.8152357711142,2.988904187511431,"PTECH:NP7 3""|ROT_QGIS:2.988904188","[{""operation"":""identity"",""source_entity_key"":""d4e9a06f2fa9ca3993e207ec352698e28f9337e44437b0abcda87aaf7a3a1eb5"",""max_displacement_m"":0.0}]",,,,,,
8,MR.KLK5.P004,,,,,,,,,,,,,,,,12543677.065974977,-821515.5401957675,MR.KLK5.P004,DWG_DERIVED:AI-ANNOTATION-AUTO_POLE_ID_FDT_2_73-001|RULE:AI-ANNOTATION-ASSIGN-001,4e6d236d5b6e58c738c69a9f8488a7f6690025c86e6c85ce33c6b4b7eb6cd2d8,12D9,NEW POLE FDT 1,SOURCE_ASSET,4,,BYLAYER,-1,6.227600685485791,356.8152357711142,2.9889242520477537,"PTECH:NP7 3""|ROT_QGIS:2.988924252","[{""operation"":""identity"",""source_entity_key"":""4e6d236d5b6e58c738c69a9f8488a7f6690025c86e6c85ce33c6b4b7eb6cd2d8"",""max_displacement_m"":0.0}]",,,,,,
9,MR.KLK5.P016,,,,,,,,,,,,,,,,12543713.721035594,-821618.6262403245,MR.KLK5.P016,DWG_DERIVED:AI-ANNOTATION-AUTO_POLE_ID_2_5-001|RULE:AI-ANNOTATION-ASSIGN-001,f02a4a0cb056c3263d4fd2b2d756699fbb26d18bfdf06442b49711525bc363eb,12AE,NEW POLE FDT 1,SOURCE_ASSET,4,,BYLAYER,-1,6.227600685485791,356.8152357711142,2.988854736385885,"PTECH:NP7 3""|ROT_QGIS:2.988854736","[{""operation"":""identity"",""source_entity_key"":""f02a4a0cb056c3263d4fd2b2d756699fbb26d18bfdf06442b49711525bc363eb"",""max_displacement_m"":0.0}]",,,,,,
10,MR.KLK5.P017,,,,,,,,,,,,,,,,12543750.118165102,-821627.1966431796,MR.KLK5.P017,DWG_DERIVED:AI-ANNOTATION-AUTO_POLE_ID_2_5-001|RULE:AI-ANNOTATION-ASSIGN-001,710a30a2056b21b0c270320fd63756552d5814a7c0731008e5c0bffbeeb81d37,12B1,NEW POLE FDT 1,SOURCE_ASSET,4,,BYLAYER,-1,6.227600685485791,356.8152357711142,2.9888102936801255,"PTECH:NP7 3""|ROT_QGIS:2.988810294","[{""operation"":""identity"",""source_entity_key"":""710a30a2056b21b0c270320fd63756552d5814a7c0731008e5c0bffbeeb81d37"",""max_displacement_m"":0.0}]",,,,,,
