fid,CODE,REF_PLAQUE,REGION,PROVINCE,VILLE,COMMUNE,CODE_POSTAL,NUMERO_VOIE,TYPE_VOIE,TYPE_BATIMENT,TYPE_CLIENT,NB_LOC_RES,NB_LOC_PRO,NB_LOC_TOT,RACCORDEMENT,STATUT,NB_ETAGE,COL_MONTANTE,SOUS_SOL,SOUS_SOL_COMMUN,BPE_CODE,X,Y,display_label,label_provenance,source_entity_key,source_handle,source_layer,geometry_role,style_aci,style_truecolor,style_linetype,style_lineweight,style_rotation,style_rotation_deg,style_qgis_rotation_deg,style_render_key,lineage_json,source_cad_length_m,dimension_length_m,source_segment_sum_m,source_native_length_delta_m,delivery_grid_length_m,geodesic_length_m
1,172,,,,,,,,,,,,,,,,,,,,,818254.2070891903,9914992.35944878,172,DWG_DIRECT:text|RULE:AI-IMB-LABEL-001,0d442b31cb168de2d9a10d526795e0fe9b3fcb1ba7b92a9597bafa39b9851960,4CA35,Homepass Number,SOURCE_HOME_LABEL,6,,BYLAYER,30,0.0,0.0,0.0,ACI:6|LT:BYLAYER|LW:30|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""0d442b31cb168de2d9a10d526795e0fe9b3fcb1ba7b92a9597bafa39b9851960"",""max_displacement_m"":0.0}]",,,,,,
2,270,,,,,,,,,,,,,,,,,,,,,818364.7432925302,9915717.270693487,270,DWG_DIRECT:text|RULE:AI-IMB-LABEL-001,f4b7c53edbec937f8c3c8cf76635f53e581f680a4200f345c698cea1414a631f,4CA97,Homepass Number,SOURCE_HOME_LABEL,6,,BYLAYER,30,0.0,0.0,0.0,ACI:6|LT:BYLAYER|LW:30|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""f4b7c53edbec937f8c3c8cf76635f53e581f680a4200f345c698cea1414a631f"",""max_displacement_m"":0.0}]",,,,,,
3,224,,,,,,,,,,,,,,,,,,,,,818190.2859365124,9915322.003295038,224,DWG_DIRECT:text|RULE:AI-IMB-LABEL-001,4986cb08befc72ad08bc45e36b1834be9f66947a95221466cac99732751a6ddb,4CA69,Homepass Number,SOURCE_HOME_LABEL,6,,BYLAYER,30,0.0,0.0,0.0,ACI:6|LT:BYLAYER|LW:30|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""4986cb08befc72ad08bc45e36b1834be9f66947a95221466cac99732751a6ddb"",""max_displacement_m"":0.0}]",,,,,,
4,181,,,,,,,,,,,,,,,,,,,,,818204.0480026449,9915042.898248466,181,DWG_DIRECT:text|RULE:AI-IMB-LABEL-001,a93b71169f4ca28f2f8479a13af5832930e465dd02658dc38c740316f9b1ff4e,4CA3E,Homepass Number,SOURCE_HOME_LABEL,6,,BYLAYER,30,0.0,0.0,0.0,ACI:6|LT:BYLAYER|LW:30|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""a93b71169f4ca28f2f8479a13af5832930e465dd02658dc38c740316f9b1ff4e"",""max_displacement_m"":0.0}]",,,,,,
5,97,,,,,,,,,,,,,,,,,,,,,818368.8346140608,9915549.737355655,97,DWG_DIRECT:text|RULE:AI-IMB-LABEL-001,ca370b21cc6afe1e4851629dccc0ace22db3e1a5772698758e96536a848c034b,4C9EA,Homepass Number,SOURCE_HOME_LABEL,6,,BYLAYER,30,0.0,0.0,0.0,ACI:6|LT:BYLAYER|LW:30|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""ca370b21cc6afe1e4851629dccc0ace22db3e1a5772698758e96536a848c034b"",""max_displacement_m"":0.0}]",,,,,,
6,373,,,,,,,,,,,,,,,,,,,,,818455.9532520631,9915099.511835692,373,DWG_DIRECT:text|RULE:AI-IMB-LABEL-001,43378a7146661bbc22115bd137439ec409e4175e0c562b0ca66f68e8ee17024a,4D160,Homepass Number,SOURCE_HOME_LABEL,6,,BYLAYER,30,0.0,0.0,0.0,ACI:6|LT:BYLAYER|LW:30|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""43378a7146661bbc22115bd137439ec409e4175e0c562b0ca66f68e8ee17024a"",""max_displacement_m"":0.0}]",,,,,,
7,271,,,,,,,,,,,,,,,,,,,,,818369.651102257,9915727.33950989,271,DWG_DIRECT:text|RULE:AI-IMB-LABEL-001,6cf0ee77f1f23f9b3d17813c7f19f41bebc6aeca578aadd22a205da671d88420,4CA98,Homepass Number,SOURCE_HOME_LABEL,6,,BYLAYER,30,0.0,0.0,0.0,ACI:6|LT:BYLAYER|LW:30|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""6cf0ee77f1f23f9b3d17813c7f19f41bebc6aeca578aadd22a205da671d88420"",""max_displacement_m"":0.0}]",,,,,,
8,80,,,,,,,,,,,,,,,,,,,,,818277.0462961157,9915420.41091517,80,DWG_DIRECT:text|RULE:AI-IMB-LABEL-001,e1185aa5f13d3d1cf4b84ff23d8dd5e7e51e0b88a8dd3d1a750301b41eca10c9,4C9D9,Homepass Number,SOURCE_HOME_LABEL,6,,BYLAYER,30,0.0,0.0,0.0,ACI:6|LT:BYLAYER|LW:30|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""e1185aa5f13d3d1cf4b84ff23d8dd5e7e51e0b88a8dd3d1a750301b41eca10c9"",""max_displacement_m"":0.0}]",,,,,,
9,187,,,,,,,,,,,,,,,,,,,,,818248.2469117707,9915019.847963717,187,DWG_DIRECT:text|RULE:AI-IMB-LABEL-001,0ef77c806aaff0911be6320761e6a45f5362f24286b6685245bdff6b8ff8116c,4CA44,Homepass Number,SOURCE_HOME_LABEL,6,,BYLAYER,30,0.0,0.0,0.0,ACI:6|LT:BYLAYER|LW:30|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""0ef77c806aaff0911be6320761e6a45f5362f24286b6685245bdff6b8ff8116c"",""max_displacement_m"":0.0}]",,,,,,
10,295,,,,,,,,,,,,,,,,,,,,,818455.0509964569,9915945.872218465,295,DWG_DIRECT:text|RULE:AI-IMB-LABEL-001,81f437fba4270e0237ffb1f491ba98e120afb83935d75628929dbcb61654cb5c,4CAB0,Homepass Number,SOURCE_HOME_LABEL,6,,BYLAYER,30,0.0,0.0,0.0,ACI:6|LT:BYLAYER|LW:30|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""81f437fba4270e0237ffb1f491ba98e120afb83935d75628929dbcb61654cb5c"",""max_displacement_m"":0.0}]",,,,,,
