fid,CODE,NOM,REF_PLAQUE,TYPE,NATURE,HAUTEUR_APPUI,TYPE_APPUI,EFFORT_APPUI,NB_BOITIERS,STATUT,PROPRIETAIRE,GESTIONNAIRE,ADRESSSE,VILLE,CODE_POSTAL,COMMENT,X,Y,display_label,label_provenance,source_entity_key,source_handle,source_layer,geometry_role,style_aci,style_truecolor,style_linetype,style_lineweight,style_rotation,style_rotation_deg,style_qgis_rotation_deg,style_render_key,lineage_json,source_cad_length_m,dimension_length_m,source_segment_sum_m,source_native_length_delta_m,delivery_grid_length_m,geodesic_length_m
1,MR.TPA-05.P022,,,,,,,,,,,,,,,,818348.0335268221,9915074.65029718,MR.TPA-05.P022,DWG_DERIVED:pole-label-semantic|RULE:AI-ANNOTATION-ASSIGN-001,1acb21efc8c7b4625f92834c96cf4615915687449fcb44c145d87b9dd7739b45,4CF05,NEW POLE 7m(3 inches),SOURCE_ASSET,4,,BYLAYER,-1,0.0,0.0,0.0,"PTECH:NP7 3""|ROT_QGIS:0.000000000","[{""operation"":""identity"",""source_entity_key"":""1acb21efc8c7b4625f92834c96cf4615915687449fcb44c145d87b9dd7739b45"",""max_displacement_m"":0.0}]",,,,,,
2,MR.TPA-05.P028,,,,,,,,,,,,,,,,818495.7266272462,9915081.367704337,MR.TPA-05.P028,DWG_DERIVED:pole-label-semantic|RULE:AI-ANNOTATION-ASSIGN-001,4fb0bb322b38a717bc455a0b6399a845805aa54d25d894b4b06ec554703f7740,4D154,NEW POLE 7m(2.5 inches),SOURCE_ASSET,200,,BYLAYER,-1,0.0,0.0,0.0,"PTECH:NP7 2.5""|ROT_QGIS:0.000000000","[{""operation"":""identity"",""source_entity_key"":""4fb0bb322b38a717bc455a0b6399a845805aa54d25d894b4b06ec554703f7740"",""max_displacement_m"":0.0}]",,,,,,
3,MR.TPA-05.P049,,,,,,,,,,,,,,,,819158.4583761854,9915143.938502336,MR.TPA-05.P049,DWG_DERIVED:pole-label-semantic|RULE:AI-ANNOTATION-ASSIGN-001,4f9047cd685926ff6328346644964de784f4a45568a75998624c856f32a9941e,4D0ED,NEW POLE 7m(2.5 inches),SOURCE_ASSET,200,,BYLAYER,-1,0.0,0.0,0.0,"PTECH:NP7 2.5""|ROT_QGIS:0.000000000","[{""operation"":""identity"",""source_entity_key"":""4f9047cd685926ff6328346644964de784f4a45568a75998624c856f32a9941e"",""max_displacement_m"":0.0}]",,,,,,
4,MR.TPA-05.P079,,,,,,,,,,,,,,,,818217.0453896867,9915602.50614939,MR.TPA-05.P079,DWG_DERIVED:pole-label-semantic|RULE:AI-ANNOTATION-ASSIGN-001,10c51158710003bb79b5878ea0bcd4381bb833f68505be119084e4466f1de896,4D180,NEW POLE 7m(2.5 inches),SOURCE_ASSET,200,,BYLAYER,-1,0.0,0.0,0.0,"PTECH:NP7 2.5""|ROT_QGIS:0.000000000","[{""operation"":""identity"",""source_entity_key"":""10c51158710003bb79b5878ea0bcd4381bb833f68505be119084e4466f1de896"",""max_displacement_m"":0.0}]",,,,,,
5,MR.TPA-05.P004,,,,,,,,,,,,,,,,818200.6793010853,9915292.558637511,MR.TPA-05.P004,DWG_DERIVED:pole-label-semantic|RULE:AI-ANNOTATION-ASSIGN-001,25cdf4647500d8d8b7c80e8250e95472f2ccac2671afb871e385d8d1b052e5ae,4CE2D,NEW POLE 7m(3 inches),SOURCE_ASSET,4,,BYLAYER,-1,0.0,0.0,0.0,"PTECH:NP7 3""|ROT_QGIS:0.000000000","[{""operation"":""identity"",""source_entity_key"":""25cdf4647500d8d8b7c80e8250e95472f2ccac2671afb871e385d8d1b052e5ae"",""max_displacement_m"":0.0}]",,,,,,
6,MR.TPA-05.P041,,,,,,,,,,,,,,,,819074.3979047046,9914946.846083414,MR.TPA-05.P041,DWG_DERIVED:pole-label-semantic|RULE:AI-ANNOTATION-ASSIGN-001,34f109935747d96f0ad66f1613b30f9fb378d94285dc4d81cd35253ce52205cf,4D0AD,NEW POLE 7m(2.5 inches),SOURCE_ASSET,200,,BYLAYER,-1,0.0,0.0,0.0,"PTECH:NP7 2.5""|ROT_QGIS:0.000000000","[{""operation"":""identity"",""source_entity_key"":""34f109935747d96f0ad66f1613b30f9fb378d94285dc4d81cd35253ce52205cf"",""max_displacement_m"":0.0}]",,,,,,
7,MR.TPA-05.P080,,,,,,,,,,,,,,,,818259.0847025726,9915594.956980826,MR.TPA-05.P080,DWG_DERIVED:pole-label-semantic|RULE:AI-ANNOTATION-ASSIGN-001,bcbc56a7f9073dd4f1e03fb63260ab447d764e304010aa062e153f85fe1c9bf7,4CF3D,NEW POLE 7m(3 inches),SOURCE_ASSET,4,,BYLAYER,-1,0.0,0.0,0.0,"PTECH:NP7 3""|ROT_QGIS:0.000000000","[{""operation"":""identity"",""source_entity_key"":""bcbc56a7f9073dd4f1e03fb63260ab447d764e304010aa062e153f85fe1c9bf7"",""max_displacement_m"":0.0}]",,,,,,
8,MR.TPA-05.P016,,,,,,,,,,,,,,,,818335.8206080988,9915019.851287572,MR.TPA-05.P016,DWG_DERIVED:pole-label-semantic|RULE:AI-ANNOTATION-ASSIGN-001,135950bf6bb43781eb54fe4480b1b194b948c0009b21893bafbcf9bf4adf4364,4CDCD,NEW POLE 7m(3 inches),SOURCE_ASSET,4,,BYLAYER,-1,0.0,0.0,0.0,"PTECH:NP7 3""|ROT_QGIS:0.000000000","[{""operation"":""identity"",""source_entity_key"":""135950bf6bb43781eb54fe4480b1b194b948c0009b21893bafbcf9bf4adf4364"",""max_displacement_m"":0.0}]",,,,,,
9,MR.TPA-05.P082,,,,,,,,,,,,,,,,818279.11471366,9915702.195421232,MR.TPA-05.P082,DWG_DERIVED:pole-label-semantic|RULE:AI-ANNOTATION-ASSIGN-001,7a77d73788bed0d6ecf88f2bdd37741c324ff91176aaecf44f6cc1f2eada48a4,4CF4D,NEW POLE 7m(3 inches),SOURCE_ASSET,4,,BYLAYER,-1,0.0,0.0,0.0,"PTECH:NP7 3""|ROT_QGIS:0.000000000","[{""operation"":""identity"",""source_entity_key"":""7a77d73788bed0d6ecf88f2bdd37741c324ff91176aaecf44f6cc1f2eada48a4"",""max_displacement_m"":0.0}]",,,,,,
10,MR.TPA-05.P078,,,,,,,,,,,,,,,,818257.6419981183,9915585.739111552,MR.TPA-05.P078,DWG_DERIVED:pole-label-semantic|RULE:AI-ANNOTATION-ASSIGN-001,bf3bd8d044a207bc07c69ea31230c171a7799fd85a1de9677039f1af6c23d672,4CF35,NEW POLE 7m(2.5 inches),SOURCE_ASSET,200,,BYLAYER,-1,0.0,0.0,0.0,"PTECH:NP7 2.5""|ROT_QGIS:0.000000000","[{""operation"":""identity"",""source_entity_key"":""bf3bd8d044a207bc07c69ea31230c171a7799fd85a1de9677039f1af6c23d672"",""max_displacement_m"":0.0}]",,,,,,
