fid,CODE,NOM,REF_PLAQUE,TYPE,NATURE,HAUTEUR_APPUI,TYPE_APPUI,EFFORT_APPUI,NB_BOITIERS,STATUT,PROPRIETAIRE,GESTIONNAIRE,ADRESSSE,VILLE,CODE_POSTAL,COMMENT,X,Y,display_label,label_provenance,source_entity_key,source_handle,source_layer,geometry_role,style_aci,style_truecolor,style_linetype,style_lineweight,style_rotation,style_rotation_deg,style_qgis_rotation_deg,style_render_key,lineage_json,source_cad_length_m,dimension_length_m,source_segment_sum_m,source_native_length_delta_m,delivery_grid_length_m,geodesic_length_m
1,MR.KLDYA.P099,,,,,,,,,,,,,,,,762018.7117718008,605589.3769192176,MR.KLDYA.P099,DWG_DERIVED:AI-ANNOTATION-OBSERVED_62922084E81B1BBE25363DF9B0514A46-001|RULE:AI-ANNOTATION-ASSIGN-001,279e7f00d4be1129776a9662c56491ca5f011988ce14fa4e634da08123c2104c,1ADF80,NEW POLE 7M 2.5INCH,SOURCE_ASSET,212,,BYLAYER,-1,0.0,0.0,0.0,"PTECH:NP7 2.5""|ROT_QGIS:0.000000000","[{""operation"":""identity"",""source_entity_key"":""279e7f00d4be1129776a9662c56491ca5f011988ce14fa4e634da08123c2104c"",""max_displacement_m"":0.0}]",,,,,,
2,EXT.MR.IJY.KLDYA.P014,,,,,,,,,,,,,,,,761741.3384937337,604910.6276377611,EXT.MR.IJY.KLDYA.P014,DWG_DERIVED:AI-ANNOTATION-OBSERVED_0C10727A49C05734529BD2B4A9C5D73C-001|RULE:AI-ANNOTATION-ASSIGN-001,2799fe575725f0acad00d90f3435b02117ecfba8f45bd79887d5d342a905ad3b,1AEAA8,EXT POLE,SOURCE_ASSET,1,,BYLAYER,-1,0.0,0.0,0.0,PTECH:EXISTING|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""2799fe575725f0acad00d90f3435b02117ecfba8f45bd79887d5d342a905ad3b"",""max_displacement_m"":0.0}]",,,,,,
3,MR.KLDYA.P106,,,,,,,,,,,,,,,,762028.3378978247,605726.9603293778,MR.KLDYA.P106,DWG_DERIVED:AI-ANNOTATION-OBSERVED_62922084E81B1BBE25363DF9B0514A46-001|RULE:AI-ANNOTATION-ASSIGN-001,fdcdde54a2e5aa73ff169848e6685a17aec1aa380e5d53fd04aa6faa2341cc3c,1ADFB8,NEW POLE 7M 2.5INCH,SOURCE_ASSET,212,,BYLAYER,-1,0.0,0.0,0.0,"PTECH:NP7 2.5""|ROT_QGIS:0.000000000","[{""operation"":""identity"",""source_entity_key"":""fdcdde54a2e5aa73ff169848e6685a17aec1aa380e5d53fd04aa6faa2341cc3c"",""max_displacement_m"":0.0}]",,,,,,
4,MR.KLDYA.P143,,,,,,,,,,,,,,,,761662.2218480735,604976.4880683555,MR.KLDYA.P143,DWG_DERIVED:AI-ANNOTATION-OBSERVED_62922084E81B1BBE25363DF9B0514A46-001|RULE:AI-ANNOTATION-ASSIGN-001,2360615f48697bd09a04a8491ffe077fb5ea675c4f3dfef0faa499f7410a606e,1B0544,NEW POLE 7M 2.5INCH,SOURCE_ASSET,212,,BYLAYER,-1,0.0,0.0,0.0,"PTECH:NP7 2.5""|ROT_QGIS:0.000000000","[{""operation"":""identity"",""source_entity_key"":""2360615f48697bd09a04a8491ffe077fb5ea675c4f3dfef0faa499f7410a606e"",""max_displacement_m"":0.0}]",,,,,,
5,MR.KLDYA.P151,,,,,,,,,,,,,,,,761751.1047919956,605084.0389242755,MR.KLDYA.P151,DWG_DERIVED:AI-ANNOTATION-OBSERVED_62922084E81B1BBE25363DF9B0514A46-001|RULE:AI-ANNOTATION-ASSIGN-001,9cf8ad9f84a61026dc61feaf405cd5d1af5cac0aa6c8a9554aa89025ff50c663,1B059C,NEW POLE 7m(3 inches),SOURCE_ASSET,4,,BYLAYER,-1,0.0,0.0,0.0,"PTECH:NP7 3""|ROT_QGIS:0.000000000","[{""operation"":""identity"",""source_entity_key"":""9cf8ad9f84a61026dc61feaf405cd5d1af5cac0aa6c8a9554aa89025ff50c663"",""max_displacement_m"":0.0}]",,,,,,
6,MR.KLDYA.P028,,,,,,,,,,,,,,,,762343.5557269759,605554.0122805964,MR.KLDYA.P028,DWG_DERIVED:AI-ANNOTATION-OBSERVED_62922084E81B1BBE25363DF9B0514A46-001|RULE:AI-ANNOTATION-ASSIGN-001,7b750adc7cf587a6e7d3f2b735174e0b1ca6cb84aed03126072b74d480a252cf,1AC951,NEW POLE 7m(3 inches),SOURCE_ASSET,4,,BYLAYER,-1,0.0,0.0,0.0,"PTECH:NP7 3""|ROT_QGIS:0.000000000","[{""operation"":""identity"",""source_entity_key"":""7b750adc7cf587a6e7d3f2b735174e0b1ca6cb84aed03126072b74d480a252cf"",""max_displacement_m"":0.0}]",,,,,,
7,MR.KLDYA.P162,,,,,,,,,,,,,,,,761684.6691804839,605118.4232160703,MR.KLDYA.P162,DWG_DERIVED:AI-ANNOTATION-OBSERVED_62922084E81B1BBE25363DF9B0514A46-001|RULE:AI-ANNOTATION-ASSIGN-001,8686032909abb3cf5d16df9449ec7ec175f0e53528cdaa361844920d96f5fbdb,1B05EC,NEW POLE 7m(3 inches),SOURCE_ASSET,4,,BYLAYER,-1,0.0,0.0,0.0,"PTECH:NP7 3""|ROT_QGIS:0.000000000","[{""operation"":""identity"",""source_entity_key"":""8686032909abb3cf5d16df9449ec7ec175f0e53528cdaa361844920d96f5fbdb"",""max_displacement_m"":0.0}]",,,,,,
8,MR.KLDYA.P159,,,,,,,,,,,,,,,,761705.3433006555,605186.8766586842,MR.KLDYA.P159,DWG_DERIVED:AI-ANNOTATION-OBSERVED_62922084E81B1BBE25363DF9B0514A46-001|RULE:AI-ANNOTATION-ASSIGN-001,efbac5e1149bcac26ba29c88e6905d43d1a7a6f83d00f8e235a92a66cf64a8a7,1B29DE,NEW POLE 7M 2.5INCH,SOURCE_ASSET,212,,BYLAYER,-1,0.0,0.0,0.0,"PTECH:NP7 2.5""|ROT_QGIS:0.000000000","[{""operation"":""identity"",""source_entity_key"":""efbac5e1149bcac26ba29c88e6905d43d1a7a6f83d00f8e235a92a66cf64a8a7"",""max_displacement_m"":0.0}]",,,,,,
9,MR.KLDYA.P033,,,,,,,,,,,,,,,,762367.1305270643,605714.036440221,MR.KLDYA.P033,DWG_DERIVED:AI-ANNOTATION-OBSERVED_62922084E81B1BBE25363DF9B0514A46-001|RULE:AI-ANNOTATION-ASSIGN-001,aa9a02c9edf5f6cedd92e1db7a0749c3e1eabea0d27017249d796ecd114b8935,1AC971,NEW POLE 7m(3 inches),SOURCE_ASSET,4,,BYLAYER,-1,0.0,0.0,0.0,"PTECH:NP7 3""|ROT_QGIS:0.000000000","[{""operation"":""identity"",""source_entity_key"":""aa9a02c9edf5f6cedd92e1db7a0749c3e1eabea0d27017249d796ecd114b8935"",""max_displacement_m"":0.0}]",,,,,,
10,MR.KLDYA.P144,,,,,,,,,,,,,,,,761669.2338894951,604994.4323424771,MR.KLDYA.P144,DWG_DERIVED:AI-ANNOTATION-OBSERVED_62922084E81B1BBE25363DF9B0514A46-001|RULE:AI-ANNOTATION-ASSIGN-001,e29ec61123102756bbba96b63868ad75da4d64da88a78abfccd871e5578885df,1B055C,NEW POLE 7M 2.5INCH,SOURCE_ASSET,212,,BYLAYER,-1,0.0,0.0,0.0,"PTECH:NP7 2.5""|ROT_QGIS:0.000000000","[{""operation"":""identity"",""source_entity_key"":""e29ec61123102756bbba96b63868ad75da4d64da88a78abfccd871e5578885df"",""max_displacement_m"":0.0}]",,,,,,
11,MR.KLDYA.P193,,,,,,,,,,,,,,,,761243.593507,605350.868036237,MR.KLDYA.P193,DWG_DERIVED:AI-ANNOTATION-OBSERVED_62922084E81B1BBE25363DF9B0514A46-001|RULE:AI-ANNOTATION-ASSIGN-001,4da4b9abf9516daa4b969500869516a4668159fa2ce5c5ccb480b91629e144e6,1B06D4,NEW POLE 7M 2.5INCH,SOURCE_ASSET,212,,BYLAYER,-1,0.0,0.0,0.0,"PTECH:NP7 2.5""|ROT_QGIS:0.000000000","[{""operation"":""identity"",""source_entity_key"":""4da4b9abf9516daa4b969500869516a4668159fa2ce5c5ccb480b91629e144e6"",""max_displacement_m"":0.0}]",,,,,,
12,MR.KLDYA.P020,,,,,,,,,,,,,,,,762323.8287557407,605203.4534162492,MR.KLDYA.P020,DWG_DERIVED:AI-ANNOTATION-OBSERVED_62922084E81B1BBE25363DF9B0514A46-001|RULE:AI-ANNOTATION-ASSIGN-001,dd34a40bd3ad5d697bd82778f67fa60e4d09f0747fb61831f5c29cebef323fa8,1AC900,NEW POLE 7M 2.5INCH,SOURCE_ASSET,212,,BYLAYER,-1,0.0,0.0,0.0,"PTECH:NP7 2.5""|ROT_QGIS:0.000000000","[{""operation"":""identity"",""source_entity_key"":""dd34a40bd3ad5d697bd82778f67fa60e4d09f0747fb61831f5c29cebef323fa8"",""max_displacement_m"":0.0}]",,,,,,
13,MR.KLDYA.P110,,,,,,,,,,,,,,,,761972.5126368759,605762.080339089,MR.KLDYA.P110,DWG_DERIVED:AI-ANNOTATION-OBSERVED_62922084E81B1BBE25363DF9B0514A46-001|RULE:AI-ANNOTATION-ASSIGN-001,04c0e4d54afd7ed4e3d3fd8a35d5a23a9ef7b6b9d35cd0fd55e794ae92da946a,1ADFD8,NEW POLE 7M 2.5INCH,SOURCE_ASSET,212,,BYLAYER,-1,0.0,0.0,0.0,"PTECH:NP7 2.5""|ROT_QGIS:0.000000000","[{""operation"":""identity"",""source_entity_key"":""04c0e4d54afd7ed4e3d3fd8a35d5a23a9ef7b6b9d35cd0fd55e794ae92da946a"",""max_displacement_m"":0.0}]",,,,,,
14,MR.KLDYA.P018,,,,,,,,,,,,,,,,762310.2972957527,605096.2662958162,MR.KLDYA.P018,DWG_DERIVED:AI-ANNOTATION-OBSERVED_62922084E81B1BBE25363DF9B0514A46-001|RULE:AI-ANNOTATION-ASSIGN-001,e1379bb3a19f971ec96ecc0468eabcaaa0d2184a80e4aad4173e6b236974c5cd,1AC8F0,NEW POLE 7M 2.5INCH,SOURCE_ASSET,212,,BYLAYER,-1,0.0,0.0,0.0,"PTECH:NP7 2.5""|ROT_QGIS:0.000000000","[{""operation"":""identity"",""source_entity_key"":""e1379bb3a19f971ec96ecc0468eabcaaa0d2184a80e4aad4173e6b236974c5cd"",""max_displacement_m"":0.0}]",,,,,,
15,MR.KLDYA.P010,,,,,,,,,,,,,,,,762436.2877318443,605022.1535293912,MR.KLDYA.P010,DWG_DERIVED:AI-ANNOTATION-OBSERVED_62922084E81B1BBE25363DF9B0514A46-001|RULE:AI-ANNOTATION-ASSIGN-001,4ec02e340d12a85513f141641cda8d3180c2ead296ae718999901ed8fbfb36ca,1AC8B0,NEW POLE 7M 2.5INCH,SOURCE_ASSET,212,,BYLAYER,-1,0.0,0.0,0.0,"PTECH:NP7 2.5""|ROT_QGIS:0.000000000","[{""operation"":""identity"",""source_entity_key"":""4ec02e340d12a85513f141641cda8d3180c2ead296ae718999901ed8fbfb36ca"",""max_displacement_m"":0.0}]",,,,,,
16,MR.KLDYA.P058,,,,,,,,,,,,,,,,762140.3263830581,605102.1116712296,MR.KLDYA.P058,DWG_DERIVED:AI-ANNOTATION-OBSERVED_62922084E81B1BBE25363DF9B0514A46-001|RULE:AI-ANNOTATION-ASSIGN-001,dcdaa866efb99776919ee37454f2d3de46bdd1a093548fee13c36cc2c2295963,1ACF35,NEW POLE 7m(3 inches),SOURCE_ASSET,4,,BYLAYER,-1,0.0,0.0,0.0,"PTECH:NP7 3""|ROT_QGIS:0.000000000","[{""operation"":""identity"",""source_entity_key"":""dcdaa866efb99776919ee37454f2d3de46bdd1a093548fee13c36cc2c2295963"",""max_displacement_m"":0.0}]",,,,,,
17,MR.KLDYA.P016,,,,,,,,,,,,,,,,762305.4087572827,605010.6393423822,MR.KLDYA.P016,DWG_DERIVED:AI-ANNOTATION-OBSERVED_62922084E81B1BBE25363DF9B0514A46-001|RULE:AI-ANNOTATION-ASSIGN-001,59c57f005f82573808fdce763593384ef30c03981562f654810475affcbda90a,1AC8E0,NEW POLE 7M 2.5INCH,SOURCE_ASSET,212,,BYLAYER,-1,0.0,0.0,0.0,"PTECH:NP7 2.5""|ROT_QGIS:0.000000000","[{""operation"":""identity"",""source_entity_key"":""59c57f005f82573808fdce763593384ef30c03981562f654810475affcbda90a"",""max_displacement_m"":0.0}]",,,,,,
18,EXT.MR.IJY.KLDYA.P002,,,,,,,,,,,,,,,,762405.9813400103,604868.4134682715,EXT.MR.IJY.KLDYA.P002,DWG_DERIVED:AI-ANNOTATION-OBSERVED_0C10727A49C05734529BD2B4A9C5D73C-001|RULE:AI-ANNOTATION-ASSIGN-001,e4af435ca09d8db60253f3990022f550b7dc0f6f939430ab16f4bde25c067f1c,1B3E06,EXT POLE,SOURCE_ASSET,1,,BYLAYER,-1,0.0,0.0,0.0,PTECH:EXISTING|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""e4af435ca09d8db60253f3990022f550b7dc0f6f939430ab16f4bde25c067f1c"",""max_displacement_m"":0.0}]",,,,,,
19,MR.KLDYA.P047,,,,,,,,,,,,,,,,762274.5595002635,605845.3433175287,MR.KLDYA.P047,DWG_DERIVED:AI-ANNOTATION-OBSERVED_62922084E81B1BBE25363DF9B0514A46-001|RULE:AI-ANNOTATION-ASSIGN-001,a0a27b22688defb5bc0e885d2c3442505012bc80ea012d9a44e32447712d9c6e,1AC9E1,NEW POLE 7m(3 inches),SOURCE_ASSET,4,,BYLAYER,-1,0.0,0.0,0.0,"PTECH:NP7 3""|ROT_QGIS:0.000000000","[{""operation"":""identity"",""source_entity_key"":""a0a27b22688defb5bc0e885d2c3442505012bc80ea012d9a44e32447712d9c6e"",""max_displacement_m"":0.0}]",,,,,,
20,MR.KLDYA.P037,,,,,,,,,,,,,,,,762283.39915933,605685.9218404508,MR.KLDYA.P037,DWG_DERIVED:AI-ANNOTATION-OBSERVED_62922084E81B1BBE25363DF9B0514A46-001|RULE:AI-ANNOTATION-ASSIGN-001,642c2042b2bd2702ea72f79647a32171b8730a0ba33f272cb58ec387a9ed71f1,1AC991,NEW POLE 7M 2.5INCH,SOURCE_ASSET,212,,BYLAYER,-1,0.0,0.0,0.0,"PTECH:NP7 2.5""|ROT_QGIS:0.000000000","[{""operation"":""identity"",""source_entity_key"":""642c2042b2bd2702ea72f79647a32171b8730a0ba33f272cb58ec387a9ed71f1"",""max_displacement_m"":0.0}]",,,,,,
21,EXT.MR.IJY.KLDYA.P008,,,,,,,,,,,,,,,,762000.2579274528,604855.0152103683,EXT.MR.IJY.KLDYA.P008,DWG_DERIVED:AI-ANNOTATION-OBSERVED_0C10727A49C05734529BD2B4A9C5D73C-001|RULE:AI-ANNOTATION-ASSIGN-001,2f11cd20872e15f8a1133ba30dba6fa2bcc9cd1885a61421279ddfc31da6edf4,1AEAB8,EXT POLE,SOURCE_ASSET,1,,BYLAYER,-1,0.0,0.0,0.0,PTECH:EXISTING|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""2f11cd20872e15f8a1133ba30dba6fa2bcc9cd1885a61421279ddfc31da6edf4"",""max_displacement_m"":0.0}]",,,,,,
22,MR.KLDYA.P044,,,,,,,,,,,,,,,,762316.4163952719,605791.7067202723,MR.KLDYA.P044,DWG_DERIVED:AI-ANNOTATION-OBSERVED_62922084E81B1BBE25363DF9B0514A46-001|RULE:AI-ANNOTATION-ASSIGN-001,5c8a257c34e272047389fe9b2bcb93a66e89f34ac6333e04cbc4cce0a026395b,1AC9C9,NEW POLE 7M 2.5INCH,SOURCE_ASSET,212,,BYLAYER,-1,0.0,0.0,0.0,"PTECH:NP7 2.5""|ROT_QGIS:0.000000000","[{""operation"":""identity"",""source_entity_key"":""5c8a257c34e272047389fe9b2bcb93a66e89f34ac6333e04cbc4cce0a026395b"",""max_displacement_m"":0.0}]",,,,,,
