fid,CODE,REF_PLAQUE,REGION,PROVINCE,VILLE,COMMUNE,CODE_POSTAL,NUMERO_VOIE,TYPE_VOIE,TYPE_BATIMENT,TYPE_CLIENT,NB_LOC_RES,NB_LOC_PRO,NB_LOC_TOT,RACCORDEMENT,STATUT,NB_ETAGE,COL_MONTANTE,SOUS_SOL,SOUS_SOL_COMMUN,BPE_CODE,X,Y,display_label,label_provenance,source_entity_key,source_handle,source_layer,geometry_role,style_aci,style_truecolor,style_linetype,style_lineweight,style_rotation,style_rotation_deg,style_qgis_rotation_deg,style_render_key,lineage_json,source_cad_length_m,dimension_length_m,source_segment_sum_m,source_native_length_delta_m,delivery_grid_length_m,geodesic_length_m
1,NN-287,,,,,,,,,,,,,,,,,,,,,761741.5360166647,605107.5910457919,NN-287,DWG_DIRECT:text|RULE:AI-IMB-LABEL-001,7008bf0cd481e3504d14814f5675f2a5f0d610c1dcb1c6c5a1662a707b67d62f,17096F,Home Number,SOURCE_HOME_LABEL,6,,BYLAYER,-1,0.0,0.0,0.0,ACI:6|LT:BYLAYER|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""7008bf0cd481e3504d14814f5675f2a5f0d610c1dcb1c6c5a1662a707b67d62f"",""max_displacement_m"":0.0}]",,,,,,
2,NN-397,,,,,,,,,,,,,,,,,,,,,761977.2344755627,604667.8634216068,NN-397,DWG_DIRECT:text|RULE:AI-IMB-LABEL-001,9e7fc1e11bbef8b9af0d11e19add196ab0ce3f8f03ea20959cb9e2e52dd18dfc,170A4B,Home Number,SOURCE_HOME_LABEL,6,,BYLAYER,-1,1.215823391865199,69.66154898715634,290.3384510103467,ACI:6|LT:BYLAYER|LW:-1|ROT_QGIS:290.338451010,"[{""operation"":""identity"",""source_entity_key"":""9e7fc1e11bbef8b9af0d11e19add196ab0ce3f8f03ea20959cb9e2e52dd18dfc"",""max_displacement_m"":0.0}]",,,,,,
3,NN-392,,,,,,,,,,,,,,,,,,,,,761965.3561412595,604724.5056589685,NN-392,DWG_DIRECT:text|RULE:AI-IMB-LABEL-001,84786a5e3b90a5ce2bfa4bb588f743891bb29bff9e2aee837e5e01f304ef118a,170A41,Home Number,SOURCE_HOME_LABEL,6,,BYLAYER,-1,0.0,0.0,0.0,ACI:6|LT:BYLAYER|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""84786a5e3b90a5ce2bfa4bb588f743891bb29bff9e2aee837e5e01f304ef118a"",""max_displacement_m"":0.0}]",,,,,,
4,NN-429,,,,,,,,,,,,,,,,,,,,,762305.3621373771,605504.2259999363,NN-429,DWG_DIRECT:text|RULE:AI-IMB-LABEL-001,1a0883448e6073839a821c0bada54c36d078846a019fd5203b1c8fcc47f8e7e9,188D79,Home Number,SOURCE_HOME_LABEL,6,,BYLAYER,-1,0.0,0.0,0.0,ACI:6|LT:BYLAYER|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""1a0883448e6073839a821c0bada54c36d078846a019fd5203b1c8fcc47f8e7e9"",""max_displacement_m"":0.0}]",,,,,,
5,NN-476,,,,,,,,,,,,,,,,,,,,,762355.6021201563,605790.1555881198,NN-476,DWG_DIRECT:text|RULE:AI-IMB-LABEL-001,fedc75da3a25a8a17632040584f2f92509b2143b8e22f31a22d2693523af64eb,188D95,Home Number,SOURCE_HOME_LABEL,6,,BYLAYER,-1,0.0,0.0,0.0,ACI:6|LT:BYLAYER|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""fedc75da3a25a8a17632040584f2f92509b2143b8e22f31a22d2693523af64eb"",""max_displacement_m"":0.0}]",,,,,,
6,NN-106,,,,,,,,,,,,,,,,,,,,,762132.065804311,605202.8508572096,NN-106,DWG_DIRECT:text|RULE:AI-IMB-LABEL-001,f649e11d51067ebdd7fac68b36d235c408ce16171234541c94466be29782e816,170805,Home Number,SOURCE_HOME_LABEL,6,,BYLAYER,-1,0.0,0.0,0.0,ACI:6|LT:BYLAYER|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""f649e11d51067ebdd7fac68b36d235c408ce16171234541c94466be29782e816"",""max_displacement_m"":0.0}]",,,,,,
7,NN-473,,,,,,,,,,,,,,,,,,,,,762257.4377611778,605950.5492176607,NN-473,DWG_DIRECT:text|RULE:AI-IMB-LABEL-001,5b3e7b4da059c2bc71e5227a0204c8a9c4d4a862955cbb7181af29a49cdd6c79,188DDB,Home Number,SOURCE_HOME_LABEL,6,,BYLAYER,-1,0.0,0.0,0.0,ACI:6|LT:BYLAYER|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""5b3e7b4da059c2bc71e5227a0204c8a9c4d4a862955cbb7181af29a49cdd6c79"",""max_displacement_m"":0.0}]",,,,,,
8,NN-62,,,,,,,,,,,,,,,,,,,,,762298.1139804537,605081.0230924664,NN-62,DWG_DIRECT:text|RULE:AI-IMB-LABEL-001,305e3329801c71e476ad11306673535ea02e6cf6102d78c962e0f1b52924fa81,1707AD,Home Number,SOURCE_HOME_LABEL,6,,BYLAYER,-1,0.0,0.0,0.0,ACI:6|LT:BYLAYER|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""305e3329801c71e476ad11306673535ea02e6cf6102d78c962e0f1b52924fa81"",""max_displacement_m"":0.0}]",,,,,,
9,14,,,,,,,,,,,,,,,,,,,,,762199.5082920828,605448.4472002347,14,DWG_DIRECT:text|RULE:AI-IMB-LABEL-001,30949144b9d06d4a6f8946862694ecce059f29a86c98706cf5f9c29e211116e8,170705,Home Number,SOURCE_HOME_LABEL,6,,BYLAYER,-1,0.0,0.0,0.0,ACI:6|LT:BYLAYER|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""30949144b9d06d4a6f8946862694ecce059f29a86c98706cf5f9c29e211116e8"",""max_displacement_m"":0.0}]",,,,,,
10,NN-316,,,,,,,,,,,,,,,,,,,,,761685.00182756,605044.5229979147,NN-316,DWG_DIRECT:text|RULE:AI-IMB-LABEL-001,6eb58d6faf3f77814be240bdb7fa174e45ecf74dcc4d5726a0716550b17423fc,1709A9,Home Number,SOURCE_HOME_LABEL,6,,BYLAYER,-1,0.0,0.0,0.0,ACI:6|LT:BYLAYER|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""6eb58d6faf3f77814be240bdb7fa174e45ecf74dcc4d5726a0716550b17423fc"",""max_displacement_m"":0.0}]",,,,,,
