fid,CODE,REF_PLAQUE,REF_NRO,REF_SRO,STATUT,NB_PRISES,COMMENT,display_label,label_provenance,source_entity_key,source_handle,source_layer,geometry_role,style_aci,style_truecolor,style_linetype,style_lineweight,style_rotation,style_rotation_deg,style_qgis_rotation_deg,style_render_key,lineage_json,source_cad_length_m,dimension_length_m,source_segment_sum_m,source_native_length_delta_m,delivery_grid_length_m,geodesic_length_m
1,ZPM-CAD-19A092,,,,,,,,UNAVAILABLE,0654f9220f3025bcc169547d56c18fc7b43f6ec9a7693cb1b9865d2d5f677374,19A092,FAT AREA,SOURCE_BOUNDARY,134,,BYLAYER,-1,0.0,0.0,0.0,ACI:134|LT:BYLAYER|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""0654f9220f3025bcc169547d56c18fc7b43f6ec9a7693cb1b9865d2d5f677374"",""max_displacement_m"":0.0}]",,,,,,
2,ZPM-CAD-197375,,,,,,,,UNAVAILABLE,438880e808555f19908831b6d3a6ed844d7389364b9e6590430b41132bd11ac7,197375,FAT AREA,SOURCE_BOUNDARY,134,,BYLAYER,-1,0.0,0.0,0.0,ACI:134|LT:BYLAYER|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""438880e808555f19908831b6d3a6ed844d7389364b9e6590430b41132bd11ac7"",""max_displacement_m"":0.0}]",,,,,,
3,ZPM-CAD-198C93,,,,,,,,UNAVAILABLE,8d98d619d1d71334af2c227e14286997f8e6773f3aa7775ea0542e32429a18d3,198C93,FAT AREA,SOURCE_BOUNDARY,134,,BYLAYER,-1,0.0,0.0,0.0,ACI:134|LT:BYLAYER|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""8d98d619d1d71334af2c227e14286997f8e6773f3aa7775ea0542e32429a18d3"",""max_displacement_m"":0.0}]",,,,,,
4,ZPM-CAD-194B91,,,,,,,,UNAVAILABLE,8d797b0f393ca18571fe82614e9ceb54ea7988709ad81322859d0455f71ee5c4,194B91,FAT AREA,SOURCE_BOUNDARY,134,,BYLAYER,-1,0.0,0.0,0.0,ACI:134|LT:BYLAYER|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""8d797b0f393ca18571fe82614e9ceb54ea7988709ad81322859d0455f71ee5c4"",""max_displacement_m"":0.0}]",,,,,,
5,ZPM-CAD-19AA8D,,,,,,,,UNAVAILABLE,7af328612f7d8503c98fdf63c67cee69fa769e98d18f0f2733c67f9845255b9a,19AA8D,FAT AREA,SOURCE_BOUNDARY,134,,BYLAYER,-1,0.0,0.0,0.0,ACI:134|LT:BYLAYER|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""7af328612f7d8503c98fdf63c67cee69fa769e98d18f0f2733c67f9845255b9a"",""max_displacement_m"":0.0}]",,,,,,
6,ZPM-CAD-196480,,,,,,,,UNAVAILABLE,d91e5bfd99ed6e536846226cef4f23ed3fb72aad24d009a239e142945a243b81,196480,FAT AREA,SOURCE_BOUNDARY,134,,BYLAYER,-1,0.0,0.0,0.0,ACI:134|LT:BYLAYER|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""d91e5bfd99ed6e536846226cef4f23ed3fb72aad24d009a239e142945a243b81"",""max_displacement_m"":0.0}]",,,,,,
7,ZPM-CAD-19919A,,,,,,,,UNAVAILABLE,7823312f28d3404c5f99dfb446b904f1069be8834df3edca28418a2b9686ad43,19919A,FAT AREA,SOURCE_BOUNDARY,134,,BYLAYER,-1,0.0,0.0,0.0,ACI:134|LT:BYLAYER|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""7823312f28d3404c5f99dfb446b904f1069be8834df3edca28418a2b9686ad43"",""max_displacement_m"":0.0}]",,,,,,
8,ZPM-CAD-197378,,,,,,,,UNAVAILABLE,f3a9361e326ed3f137d17c90c106d5f2ef3cf09c290262f8b0cb2bf4f76bd8d2,197378,FAT AREA,SOURCE_BOUNDARY,134,,BYLAYER,-1,0.0,0.0,0.0,ACI:134|LT:BYLAYER|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""f3a9361e326ed3f137d17c90c106d5f2ef3cf09c290262f8b0cb2bf4f76bd8d2"",""max_displacement_m"":0.0}]",,,,,,
9,ZPM-CAD-199195,,,,,,,,UNAVAILABLE,fdfa7d8721fe7a49978bc7282e665cbe1e53f3a3ac4f11b0269ba48c99479e63,199195,FAT AREA,SOURCE_BOUNDARY,134,,BYLAYER,-1,0.0,0.0,0.0,ACI:134|LT:BYLAYER|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""fdfa7d8721fe7a49978bc7282e665cbe1e53f3a3ac4f11b0269ba48c99479e63"",""max_displacement_m"":0.0}]",,,,,,
10,ZPM-CAD-194694,,,,,,,,UNAVAILABLE,08cead2f697758b488c1a2b4de62ebbc5f6e07d334b4a2cb6828fe41d31b8d3f,194694,FAT AREA,SOURCE_BOUNDARY,134,,BYLAYER,-1,0.0,0.0,0.0,ACI:134|LT:BYLAYER|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""08cead2f697758b488c1a2b4de62ebbc5f6e07d334b4a2cb6828fe41d31b8d3f"",""max_displacement_m"":0.0}]",,,,,,
11,ZPM-CAD-19A591,,,,,,,,UNAVAILABLE,57f911b48902f994f1852fbba359a6efec13c193cb3ebbb6f3c2c1f7979a46dd,19A591,FAT AREA,SOURCE_BOUNDARY,134,,BYLAYER,-1,0.0,0.0,0.0,ACI:134|LT:BYLAYER|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""57f911b48902f994f1852fbba359a6efec13c193cb3ebbb6f3c2c1f7979a46dd"",""max_displacement_m"":0.0}]",,,,,,
12,ZPM-CAD-19697C,,,,,,,,UNAVAILABLE,6022df74c3e2eb3c6b55f154cbd9bf4faf7db21a20e3d543d10b95d48a5922c2,19697C,FAT AREA,SOURCE_BOUNDARY,134,,BYLAYER,-1,0.0,0.0,0.0,ACI:134|LT:BYLAYER|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""6022df74c3e2eb3c6b55f154cbd9bf4faf7db21a20e3d543d10b95d48a5922c2"",""max_displacement_m"":0.0}]",,,,,,
13,ZPM-CAD-19508D,,,,,,,,UNAVAILABLE,845e7a35adf7bda7c490696c435bc378cbf1aafb5c8043d27f26444844848d6b,19508D,FAT AREA,SOURCE_BOUNDARY,134,,BYLAYER,-1,0.0,0.0,0.0,ACI:134|LT:BYLAYER|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""845e7a35adf7bda7c490696c435bc378cbf1aafb5c8043d27f26444844848d6b"",""max_displacement_m"":0.0}]",,,,,,
