layer,delivery_fid,source_entity_key,source_handle,field_name,delivery_value,recorded_value,provenance,missing_value,recorded_comparison,direct_source_text_match,source_texts,selected_annotation_keys,verified_selected_annotation_texts,heuristic_number_label_keys,verified_heuristic_number_texts,replacement_character_in_delivery,replacement_character_in_source_text
SITE,1,1ea6fdf366109a6622b706affe1f90c09fda4cd94d37be3636119b8db76a632f,2104E,CODE,SITE-CAD-2104E,SITE-CAD-2104E,DWG_DERIVED:stable-handle-id,False,exact,no_exact_match_requires_relation_or_derivation,"[""FDT=48"", ""48""]",,[],,[],False,False
SITE,1,1ea6fdf366109a6622b706affe1f90c09fda4cd94d37be3636119b8db76a632f,2104E,REF_PLAQUE,,,UNAVAILABLE,True,missing_value,not_a_text_check,"[""FDT=48"", ""48""]",,[],,[],False,False
SITE,1,1ea6fdf366109a6622b706affe1f90c09fda4cd94d37be3636119b8db76a632f,2104E,REF_NRO,,,UNAVAILABLE,True,missing_value,not_a_text_check,"[""FDT=48"", ""48""]",,[],,[],False,False
SITE,1,1ea6fdf366109a6622b706affe1f90c09fda4cd94d37be3636119b8db76a632f,2104E,TYPE,,,UNAVAILABLE,True,missing_value,not_a_text_check,"[""FDT=48"", ""48""]",,[],,[],False,False
SITE,1,1ea6fdf366109a6622b706affe1f90c09fda4cd94d37be3636119b8db76a632f,2104E,FABRIQUANT,,,UNAVAILABLE,True,missing_value,not_a_text_check,"[""FDT=48"", ""48""]",,[],,[],False,False
SITE,1,1ea6fdf366109a6622b706affe1f90c09fda4cd94d37be3636119b8db76a632f,2104E,REF_PRODUIT,,,UNAVAILABLE,True,missing_value,not_a_text_check,"[""FDT=48"", ""48""]",,[],,[],False,False
SITE,1,1ea6fdf366109a6622b706affe1f90c09fda4cd94d37be3636119b8db76a632f,2104E,MODE_POSE,,,UNAVAILABLE,True,missing_value,not_a_text_check,"[""FDT=48"", ""48""]",,[],,[],False,False
SITE,1,1ea6fdf366109a6622b706affe1f90c09fda4cd94d37be3636119b8db76a632f,2104E,STATUT,,,UNAVAILABLE,True,missing_value,not_a_text_check,"[""FDT=48"", ""48""]",,[],,[],False,False
SITE,1,1ea6fdf366109a6622b706affe1f90c09fda4cd94d37be3636119b8db76a632f,2104E,PROPRIETAIRE,,,UNAVAILABLE,True,missing_value,not_a_text_check,"[""FDT=48"", ""48""]",,[],,[],False,False
SITE,1,1ea6fdf366109a6622b706affe1f90c09fda4cd94d37be3636119b8db76a632f,2104E,GESTIONNAIRE,,,UNAVAILABLE,True,missing_value,not_a_text_check,"[""FDT=48"", ""48""]",,[],,[],False,False
SITE,1,1ea6fdf366109a6622b706affe1f90c09fda4cd94d37be3636119b8db76a632f,2104E,COMMUNE,,,UNAVAILABLE,True,missing_value,not_a_text_check,"[""FDT=48"", ""48""]",,[],,[],False,False
