layer,source_entity_key,source_handle,delivery_count,source_in_independent_plan,source_type,operations,hausdorff_native_m,delivery_union_length_native_m,source_curve_length_native_m,length_difference_native_m,status,distance_basis,point_anchor_displacement_m
BOITE,18ae96989440f075f72cc3ef0dd9028b4ca85b0fd39cd321740d1748c34435c0,762D,1,True,INSERT,collocate_with_support|identity,2.3823329244403175,,,,explicit_derived_displacement,source_Point_to_delivery_Point,2.3823329244403175
BOITE,4e4c5688d21b269ec0c5340804be140c7928099de6b56b2a6b25dd16d5ae4bb3,7631,1,True,INSERT,collocate_with_support|identity,2.3256719500005265,,,,explicit_derived_displacement,source_Point_to_delivery_Point,2.3256719500005265
BOITE,5af611e631f0d65e6eee60662e86d298c3dbd55be2385f28012656b4d79c80a2,7630,1,True,INSERT,collocate_with_support|identity,7.694731951858619,,,,explicit_derived_displacement,source_Point_to_delivery_Point,7.694731951858619
BOITE,a8bccaf2d2cc09dc57110867d3dc0cfcf115aa55ec6138a1f352c679c375afe7,762F,1,True,INSERT,collocate_with_support|identity,3.9284602144603538,,,,explicit_derived_displacement,source_Point_to_delivery_Point,3.9284602144603538
BOITE,ae1b5a0bba86b4979ee365c19fa39c065d430fa70c5053a8dce20966ff6b9cdd,762E,1,True,INSERT,collocate_with_support|identity,4.279850894251323,,,,explicit_derived_displacement,source_Point_to_delivery_Point,4.279850894251323
BOITE,dac3cc0cf40b1af33111747b77e627b2b14fa87e692b2b238b5ffa77f0b30e10,762C,1,True,INSERT,collocate_with_support|identity,7.6468756078145,,,,explicit_derived_displacement,source_Point_to_delivery_Point,7.6468756078145
CABLE,72e145510cb55126b66d5e342cf1efee976cd0add2cafbdd25d03daff7b1dba7,75E1,6,True,LWPOLYLINE,bridge_cable_endpoint_to_pole|identity|segment_occurrence,7.908165663205474,153.85023404528494,146.48640978561102,7.363824259673919,explicit_derived_displacement,source_LineString_to_delivery_MultiLineString,
EMR,6512022b9d571fdc2a51ada345a107b173a091ec417e88ae7475bd19d92d7531,75E3,1,True,TEXT,identity,0.0,,,,within_numeric_and_curve_sampling_tolerance,source_Point_to_delivery_Point,0.0
INFRASTRUCTURE,72e145510cb55126b66d5e342cf1efee976cd0add2cafbdd25d03daff7b1dba7,75E1,1,True,LWPOLYLINE,bridge_cable_endpoint_to_pole|identity,7.908165663205474,153.85023404528494,146.48640978561102,7.363824259673919,explicit_derived_displacement,source_LineString_to_delivery_LineString,
PTECH,39914d9dc5bc72f20f1b4f52528a99886afa4be3023e202b949ad3f841d1347a,75C9,1,True,INSERT,identity,0.0,,,,within_numeric_and_curve_sampling_tolerance,source_Point_to_delivery_Point,0.0
PTECH,7346262146d489a3256c4214f25df966e81f8475fd7ce726aed637b167dee8be,75D9,1,True,INSERT,identity,0.0,,,,within_numeric_and_curve_sampling_tolerance,source_Point_to_delivery_Point,0.0
PTECH,a0b13d6a5a41d55f1837a3b280793f52ee7821af59eb802d95a7a74eb9e55cd2,75C1,1,True,INSERT,identity,0.0,,,,within_numeric_and_curve_sampling_tolerance,source_Point_to_delivery_Point,0.0
PTECH,a5e6c1382ab6fa1d1f07cdaa64fe23e8d7c2856c56f9b9675affd205a2bc8060,75A2,1,True,INSERT,identity,0.0,,,,within_numeric_and_curve_sampling_tolerance,source_Point_to_delivery_Point,0.0
PTECH,b5a24b38427982ca3b842c6e65e4c9994423325eae1884cbb5103f396bc61616,75AB,1,True,INSERT,identity,0.0,,,,within_numeric_and_curve_sampling_tolerance,source_Point_to_delivery_Point,0.0
PTECH,defa749e8cc276f74f28adce07c8fb650880f2d3632fc9f3b2699ca3d6d6dc22,75D1,1,True,INSERT,identity,0.0,,,,within_numeric_and_curve_sampling_tolerance,source_Point_to_delivery_Point,0.0
