layer,source_entity_key,source_handle,delivery_count,source_in_independent_plan,source_type,operations,hausdorff_native_m,delivery_union_length_native_m,source_curve_length_native_m,length_difference_native_m,status,distance_basis,point_anchor_displacement_m
BOITE,00d4d5cd9eaafa593f51c34176a7a84e7b76329798f7b2611dd383c4e5d97b05,1B6B8D,1,True,INSERT,collocate_with_support|identity,11.649446898144394,,,,explicit_derived_displacement,source_Point_to_delivery_Point,11.649446898144394
BOITE,018567ed6a6812ddfa1fa99306fb68907df924a78190f5f5bd85889700633144,1B6B60,1,True,INSERT,collocate_with_support|identity,6.513009965266582,,,,explicit_derived_displacement,source_Point_to_delivery_Point,6.513009965266582
BOITE,01ff054da97e08bbeb43e49aeb1e6aac92441c8acf3d000c46dc2f6e028db3d4,1B6BEC,1,True,INSERT,collocate_with_support|identity,8.447090368164565,,,,explicit_derived_displacement,source_Point_to_delivery_Point,8.447090368164565
BOITE,0f73d6284e58e8d7905d26aec9fe6a425e51f89844401c4808994c30761b83db,1B6B3D,1,True,INSERT,collocate_with_support|identity,10.072761218348344,,,,explicit_derived_displacement,source_Point_to_delivery_Point,10.072761218348344
BOITE,10039e7a360827b3fce69a8bea3b1f5dc0458466c35183015344df02aa2b2a5d,1B6BA1,1,True,INSERT,collocate_with_support|identity,12.297584595668665,,,,explicit_derived_displacement,source_Point_to_delivery_Point,12.297584595668665
BOITE,1f67ff88773c579fc3fa4f5f2063f4336845607bc05e9d1f74659ddf7d19c623,1B6B47,1,True,INSERT,collocate_with_support|identity,6.6755501620281334,,,,explicit_derived_displacement,source_Point_to_delivery_Point,6.6755501620281334
BOITE,2938bfaebf30a58fe8fd750b5967f209d06d267a9cb1d4c392fb18e72aa4a032,1B6B9C,1,True,INSERT,collocate_with_support|identity,6.704563330207696,,,,explicit_derived_displacement,source_Point_to_delivery_Point,6.704563330207696
BOITE,2b9071848fe5d3ed5d28cdf1b9b996573d45866023951ceb66fec52f6edae49a,1B6BA6,1,True,INSERT,collocate_with_support|identity,9.722614708432094,,,,explicit_derived_displacement,source_Point_to_delivery_Point,9.722614708432094
BOITE,3b0f34bf0e474b2bd34160e048eb10ef69f31369d3b9cdb62fd11fcf02bf51d6,1B6BB5,1,True,INSERT,collocate_with_support|identity,10.501381200526,,,,explicit_derived_displacement,source_Point_to_delivery_Point,10.501381200526
BOITE,3b18637a4c1738119d36486ff38b8957d8b6ce12305ca37c2e4e752c108b1f11,1B6BBF,1,True,INSERT,collocate_with_support|identity,7.502601745676523,,,,explicit_derived_displacement,source_Point_to_delivery_Point,7.502601745676523
