fid,CODE,NOM,REF_PLAQUE,ORIGINE,EXTREMITE,COMPOSITION,TYPE,TYPE_LOG,STATUT,PROPRIETAIRE,GESTIONNAIRE,COMMENT,LONGUEUR,display_label,label_provenance,source_entity_key,source_handle,source_layer,geometry_role,style_aci,style_truecolor,style_linetype,style_lineweight,style_rotation,style_rotation_deg,style_qgis_rotation_deg,style_render_key,lineage_json,source_cad_length_m,dimension_length_m,source_segment_sum_m,source_native_length_delta_m,delivery_grid_length_m,geodesic_length_m
1,INFRA-CAD-3248,,,,,,,,,,,,44.105239584324764,,UNAVAILABLE,8b7011b2b8adb193d5677cce5af04d66a94d545a4e47fa8376e2fabdf03e964a,3248,SLING WIRE,SOURCE_ROUTE,8,#808080,Continuous,-1,0.0,0.0,0.0,TRUECOLOR:808080|LT:Continuous|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""8b7011b2b8adb193d5677cce5af04d66a94d545a4e47fa8376e2fabdf03e964a"",""max_displacement_m"":0.0}]",,,,,44.105239584324764,43.93388016245177
2,INFRA-CAD-324C,,,,,,,,,,,,26.95996745848243,,UNAVAILABLE,2c734cde14d46d058972588777cc2080f33b11522838c7cc0e1950e11794f21b,324C,SLING WIRE,SOURCE_ROUTE,8,#808080,Continuous,-1,0.0,0.0,0.0,TRUECOLOR:808080|LT:Continuous|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""2c734cde14d46d058972588777cc2080f33b11522838c7cc0e1950e11794f21b"",""max_displacement_m"":0.0}]",,,,,26.95996745848243,26.94216641055495
3,INFRA-CAD-3249,,,,,,,,,,,,29.421632322740166,,UNAVAILABLE,d3b10738c32fe13f40e50708fa0b2845fcb1c8a47d8824235a114b422cf8e606,3249,SLING WIRE,SOURCE_ROUTE,8,#808080,Continuous,-1,0.0,0.0,0.0,TRUECOLOR:808080|LT:Continuous|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""d3b10738c32fe13f40e50708fa0b2845fcb1c8a47d8824235a114b422cf8e606"",""max_displacement_m"":0.0}]",,,,,29.421632322740166,29.376134497338484
4,INFRA-CAD-3240,,,,,,,,,,,,40.75716657372906,,UNAVAILABLE,b227500fdbff7cfbaeff127c06736c26d9991abca8a63572189106ce3cfcc223,3240,SLING WIRE,SOURCE_ROUTE,8,#808080,Continuous,-1,0.0,0.0,0.0,TRUECOLOR:808080|LT:Continuous|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""b227500fdbff7cfbaeff127c06736c26d9991abca8a63572189106ce3cfcc223"",""max_displacement_m"":0.0}]",,,,,40.75716657372906,40.47589754167655
5,INFRA-CAD-324B,,,,,,,,,,,,38.754608042781754,,UNAVAILABLE,154ff0a071af46309f4e0dcadbead871d1dcd2af6c7ae35b825df475ffcf57d7,324B,SLING WIRE,SOURCE_ROUTE,8,#808080,Continuous,-1,0.0,0.0,0.0,TRUECOLOR:808080|LT:Continuous|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""154ff0a071af46309f4e0dcadbead871d1dcd2af6c7ae35b825df475ffcf57d7"",""max_displacement_m"":0.0}]",,,,,38.754608042781754,38.725229197760314
6,INFRA-CAD-323F,,,,,,,,,,,,32.01832695428688,,UNAVAILABLE,f89722dbe1c612c8f124a7bea459fd936edd53840603b65498bc0b0642739279,323F,SLING WIRE,SOURCE_ROUTE,8,#808080,Continuous,-1,0.0,0.0,0.0,TRUECOLOR:808080|LT:Continuous|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""f89722dbe1c612c8f124a7bea459fd936edd53840603b65498bc0b0642739279"",""max_displacement_m"":0.0}]",,,,,32.01832695428688,31.9958441869192
7,INFRA-CAD-3242,,,,,,,,,,,,35.43545105111401,,UNAVAILABLE,1dfee5ea9fbc16efc5751945629aeb645b154a2134f9ca872451cdf2d9c725d8,3242,SLING WIRE,SOURCE_ROUTE,8,#808080,Continuous,-1,0.0,0.0,0.0,TRUECOLOR:808080|LT:Continuous|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""1dfee5ea9fbc16efc5751945629aeb645b154a2134f9ca872451cdf2d9c725d8"",""max_displacement_m"":0.0}]",,,,,35.43545105111401,35.28890997273591
8,INFRA-CAD-31B1,,,,,,,,,,,,1205.015911100131,,UNAVAILABLE,85f51eaf687ff6e7cc2d6c71addc41bc903bfbb0469fa09c106408ae7c53ba56,31B1,FO 48 CORE,SOURCE_ROUTE,8,#808080,Continuous,-1,0.0,0.0,0.0,TRUECOLOR:808080|LT:Continuous|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""85f51eaf687ff6e7cc2d6c71addc41bc903bfbb0469fa09c106408ae7c53ba56"",""max_displacement_m"":0.0}]",,,,,1205.015911100131,1201.6759645737836
9,INFRA-CAD-3244,,,,,,,,,,,,47.13682378512242,,UNAVAILABLE,614e85f7ef50951c5da7745eef2d978d74642d1ba98c603770f71e4b7866bc4f,3244,SLING WIRE,SOURCE_ROUTE,8,#808080,Continuous,-1,0.0,0.0,0.0,TRUECOLOR:808080|LT:Continuous|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""614e85f7ef50951c5da7745eef2d978d74642d1ba98c603770f71e4b7866bc4f"",""max_displacement_m"":0.0}]",,,,,47.13682378512242,46.949110076236
10,INFRA-CAD-3247,,,,,,,,,,,,41.19131190479368,,UNAVAILABLE,1e76b102c1c52429c0d203ae1dd00d9ec3fdf4fecf3ebf28bd6ccc4e19c7c12d,3247,SLING WIRE,SOURCE_ROUTE,8,#808080,Continuous,-1,0.0,0.0,0.0,TRUECOLOR:808080|LT:Continuous|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""1e76b102c1c52429c0d203ae1dd00d9ec3fdf4fecf3ebf28bd6ccc4e19c7c12d"",""max_displacement_m"":0.0}]",,,,,41.19131190479368,40.915285333104244
