fid,CODE,REF_PLAQUE,REGION,PROVINCE,VILLE,COMMUNE,CODE_POSTAL,NUMERO_VOIE,TYPE_VOIE,TYPE_BATIMENT,TYPE_CLIENT,NB_LOC_RES,NB_LOC_PRO,NB_LOC_TOT,RACCORDEMENT,STATUT,NB_ETAGE,COL_MONTANTE,SOUS_SOL,SOUS_SOL_COMMUN,BPE_CODE,X,Y,display_label,label_provenance,source_entity_key,source_handle,source_layer,geometry_role,style_aci,style_truecolor,style_linetype,style_lineweight,style_rotation,style_rotation_deg,style_qgis_rotation_deg,style_render_key,lineage_json,source_cad_length_m,dimension_length_m,source_segment_sum_m,source_native_length_delta_m,delivery_grid_length_m,geodesic_length_m
1,117,,,,,,,,,,,,,,,,,,,,,13901976.95799741,145975.2773930506,117,DWG_DIRECT:text|RULE:AI-IMB-LABEL-001,16db861bf61b0a7797ad51e2533f3873856070ca846217ed339ba54d83d05fc9,1610,HOMENUMBER,SOURCE_HOME_LABEL,6,,Continuous,-1,5.935604539043982,340.08508894591466,19.914911043292992,ACI:6|LT:Continuous|LW:-1|ROT_QGIS:19.914911043,"[{""operation"":""identity"",""source_entity_key"":""16db861bf61b0a7797ad51e2533f3873856070ca846217ed339ba54d83d05fc9"",""max_displacement_m"":0.0}]",,,,,,
2,66,,,,,,,,,,,,,,,,,,,,,13902284.72164974,145930.9895416863,66,DWG_DIRECT:text|RULE:AI-IMB-LABEL-001,681fac628b4d5ce2b232d11170b5d1038ca4152a964b34eb482ce35e1b7ed388,15DD,HOMENUMBER,SOURCE_HOME_LABEL,6,,Continuous,-1,0.0,0.0,0.0,ACI:6|LT:Continuous|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""681fac628b4d5ce2b232d11170b5d1038ca4152a964b34eb482ce35e1b7ed388"",""max_displacement_m"":0.0}]",,,,,,
3,112,,,,,,,,,,,,,,,,,,,,,13902119.72774608,145980.0978855198,112,DWG_DIRECT:text|RULE:AI-IMB-LABEL-001,44983bcc60fcc2daf3b81fb58a94494ea30c38c3390d28ad8066f1455e8b8f91,160B,HOMENUMBER,SOURCE_HOME_LABEL,6,,Continuous,-1,6.100042398615744,349.5066842915415,10.493315714483911,ACI:6|LT:Continuous|LW:-1|ROT_QGIS:10.493315714,"[{""operation"":""identity"",""source_entity_key"":""44983bcc60fcc2daf3b81fb58a94494ea30c38c3390d28ad8066f1455e8b8f91"",""max_displacement_m"":0.0}]",,,,,,
4,210,,,,,,,,,,,,,,,,,,,,,13901851.98012986,146111.5579628086,210,DWG_DIRECT:text|RULE:AI-IMB-LABEL-001,bb508ac409dba82fe9de9864287229d202bbdc163facab978e83d2ffd68fd6df,166D,HOMENUMBER,SOURCE_HOME_LABEL,6,,Continuous,-1,5.45403091672944,312.4929528624643,47.50704710931174,ACI:6|LT:Continuous|LW:-1|ROT_QGIS:47.507047109,"[{""operation"":""identity"",""source_entity_key"":""bb508ac409dba82fe9de9864287229d202bbdc163facab978e83d2ffd68fd6df"",""max_displacement_m"":0.0}]",,,,,,
5,NN-GEREJA MASEHI INJIL,,,,,,,,,,,,,,,,,,,,,13901998.12050532,146047.3766588479,NN-GEREJA MASEHI INJIL,DWG_DIRECT:text|RULE:AI-IMB-LABEL-001,514bf16070bfbf30f9d2aea54575bcb790bd643d3f8732ef81a3cf9b3702a856,1598,HOMENUMBER,SOURCE_HOME_LABEL,6,,Continuous,-1,6.029500438102002,345.4649276755256,14.535072325221542,ACI:6|LT:Continuous|LW:-1|ROT_QGIS:14.535072325,"[{""operation"":""identity"",""source_entity_key"":""514bf16070bfbf30f9d2aea54575bcb790bd643d3f8732ef81a3cf9b3702a856"",""max_displacement_m"":0.0}]",,,,,,
6,72,,,,,,,,,,,,,,,,,,,,,13902279.03314113,145953.2453651695,72,DWG_DIRECT:text|RULE:AI-IMB-LABEL-001,1d1497fe8a00b1152c3a9da55c52d1a5289e8d446c0c9214d19913957463f0a3,15E3,HOMENUMBER,SOURCE_HOME_LABEL,6,,Continuous,-1,0.0,0.0,0.0,ACI:6|LT:Continuous|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""identity"",""source_entity_key"":""1d1497fe8a00b1152c3a9da55c52d1a5289e8d446c0c9214d19913957463f0a3"",""max_displacement_m"":0.0}]",,,,,,
7,141,,,,,,,,,,,,,,,,,,,,,13902066.58765173,146056.306258997,141,DWG_DIRECT:text|RULE:AI-IMB-LABEL-001,801285d99f3a7605064d9199636294341ac9577e5f7212d8bfae3d11704bf9be,1628,HOMENUMBER,SOURCE_HOME_LABEL,6,,Continuous,-1,5.922419767134503,339.3296571616589,20.67034282593218,ACI:6|LT:Continuous|LW:-1|ROT_QGIS:20.670342826,"[{""operation"":""identity"",""source_entity_key"":""801285d99f3a7605064d9199636294341ac9577e5f7212d8bfae3d11704bf9be"",""max_displacement_m"":0.0}]",,,,,,
8,50,,,,,,,,,,,,,,,,,,,,,13902170.67417396,145906.1652526633,50,DWG_DIRECT:text|RULE:AI-IMB-LABEL-001,f139d09921d58e664dba7551b479ec0adba3dae85636e62a11148ab57fdb8029,15CD,HOMENUMBER,SOURCE_HOME_LABEL,6,,Continuous,-1,6.088359127159026,348.8372821461659,11.162717857246479,ACI:6|LT:Continuous|LW:-1|ROT_QGIS:11.162717857,"[{""operation"":""identity"",""source_entity_key"":""f139d09921d58e664dba7551b479ec0adba3dae85636e62a11148ab57fdb8029"",""max_displacement_m"":0.0}]",,,,,,
9,67,,,,,,,,,,,,,,,,,,,,,13902260.8806955,145987.1359320775,67,DWG_DIRECT:text|RULE:AI-IMB-LABEL-001,13848d0848e4a39e2bb3c3ee821da6a2628aed389fb3e9c5c225678899b7337b,15DE,HOMENUMBER,SOURCE_HOME_LABEL,6,,Continuous,-1,6.172988712449321,353.68620020524224,6.313799793391866,ACI:6|LT:Continuous|LW:-1|ROT_QGIS:6.313799793,"[{""operation"":""identity"",""source_entity_key"":""13848d0848e4a39e2bb3c3ee821da6a2628aed389fb3e9c5c225678899b7337b"",""max_displacement_m"":0.0}]",,,,,,
10,136,,,,,,,,,,,,,,,,,,,,,13901967.41530689,145930.4915414456,136,DWG_DIRECT:text|RULE:AI-IMB-LABEL-001,3ceb0324c9df0871c6cf2779968c559da1b61e908c2ab38237f96eb96aff0413,1623,HOMENUMBER,SOURCE_HOME_LABEL,6,,Continuous,-1,5.829952039383908,334.03164662038506,25.96835336533049,ACI:6|LT:Continuous|LW:-1|ROT_QGIS:25.968353365,"[{""operation"":""identity"",""source_entity_key"":""3ceb0324c9df0871c6cf2779968c559da1b61e908c2ab38237f96eb96aff0413"",""max_displacement_m"":0.0}]",,,,,,
